DLiP-ID,T003BP
DLiP-Mol-ID,20035
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H30N4O5S/c1-17-6-2-3-7-20(17)28-25(34)27-19-11-9-18(10-12-19)14-22(30)29-16-35-15-21(29)24(33)26-13-5-4-8-23(31)32/h2-3,6-7,9-12,21H,4-5,8,13-16H2,1H3,(H,26,33)(H,31,32)(H2,27,28,34)"
Standard Inchi Key(RDKit),KUCVPMRGKUEUCN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CSCC2C(=O)NCCCCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),498.605
MW Monoisotopic(RDKit),498.19369106
MolLogP(RDKit),3.45412
XLogP(SDF),
XLogP(CDK),2.001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.371649414995848
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,64930228.13443755
qed,0.3716494149958482
Chi0,25.208531534440656
Chi1,16.8294075958929
TPSA,127.84000000000002
Chi0n,19.581568534331698
Chi0v,20.39806511525942
Chi1n,11.425341563048626
Chi1v,12.580042101427875
Chi2n,8.288832494338182
Chi2v,9.288613007882537
Chi3n,5.5823817657566766
Chi3v,6.5945667205274665
Chi4n,3.616191861299784
Chi4v,4.7968139952740945
MolMR,136.42189999999997
MolWt,498.60500000000036
fr_SH,0
Kappa1,26.081359574534368
Kappa2,12.799199767702468
Kappa3,8.026589576287124
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1060.0776288051163
MolLogP,3.4541200000000014
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.469686992975361
SMR_VSA1,24.284676131127995
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,38.64886452054263
SMR_VSA6,28.807975610405382
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
