DLiP-ID,C001QE
DLiP-Mol-ID,32764
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H13N3S/c1-2-13-4-3-7-8(5-11)10(12)14-9(7)6-13/h2-4,6,12H2,1H3"
Standard Inchi Key(RDKit),XTYAYGWNMNCCLD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1CCc2c(sc(N)c2C#N)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),207.302
MW Monoisotopic(RDKit),207.083018416
MolLogP(RDKit),1.57998
XLogP(SDF),
XLogP(CDK),0.071
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.760342641591406
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2273.2869873058103
qed,0.7603426415914059
Chi0,10.129392033067417
Chi1,6.757550155273625
TPSA,53.05
Chi0n,8.208452875399596
Chi0v,9.024949456327322
Chi1n,4.783427083232264
Chi1v,5.5999236641599905
Chi2n,3.473614807430541
Chi2v,4.610364638116664
Chi3n,2.722182545136315
Chi3v,3.7681186178822945
Chi4n,1.8701773948942222
Chi4v,2.980989425774998
MolMR,58.10140000000002
MolWt,207.30199999999996
fr_SH,0
Kappa1,9.502921981988925
Kappa2,3.6000650121544457
Kappa3,1.3877034123674719
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,388.8067537140418
MolLogP,1.5799800000000002
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.373270012035483
SMR_VSA1,0.0
SMR_VSA2,5.261891554738487
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,19.88931522852921
SMR_VSA6,18.823180288987334
SMR_VSA7,16.00405017709529
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,87.74789197144368
NHOHCount,2
PEOE_VSA1,5.733667477162185
