DLiP-ID,C002XF
DLiP-Mol-ID,33297
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4OS2/c23-14-10-22(8-7-19-14)17-15-11-4-1-2-5-12(11)25-18(15)21-16(20-17)13-6-3-9-24-13/h3,6,9H,1-2,4-5,7-8,10H2,(H,19,23)"
Standard Inchi Key(RDKit),LFIXGMWEQZLUHI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1CN(c2nc(-c3cccs3)nc3sc4c(c23)CCCC4)CCN1
SMILES(SDF),
MW(SDF),
MW(RDKit),370.503
MW Monoisotopic(RDKit),370.092203196
MolLogP(RDKit),3.2348
XLogP(SDF),
XLogP(CDK),2.308
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.752375403364646
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1478855.908963425
qed,0.7523754033646453
Chi0,16.80275414050485
Chi1,12.29282633568371
TPSA,58.120000000000005
Chi0n,13.748183933766176
Chi0v,15.381177095621629
Chi1n,8.672243725741387
Chi1v,10.368393117924008
Chi2n,6.510681232489461
Chi2v,8.541997181613995
Chi3n,4.875031096709046
Chi3v,6.926523372211026
Chi4n,3.702404899063144
Chi4v,5.615757331131114
MolMR,102.59270000000005
MolWt,370.50300000000027
fr_SH,0
Kappa1,15.27944344800238
Kappa2,6.069250246173774
Kappa3,2.61883712486666
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,947.7959998872204
MolLogP,3.2348000000000017
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.733952558579568
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,15.284745645900749
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,24.534178948588206
SMR_VSA7,27.95339559278743
SMR_VSA8,0.0
