DLiP-ID,P000FO
DLiP-Mol-ID,25767
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H30N2O5/c1-27(15-19-11-12-21-23(32-16-31-21)22(19)25(29)30)14-18-9-5-6-10-20(18)24(28)26-13-17-7-3-2-4-8-17/h5-6,9-12,17H,2-4,7-8,13-16H2,1H3,(H,26,28)(H,29,30)/p+1"
Standard Inchi Key(RDKit),STKSSLWZOAVRQS-UHFFFAOYSA-O
Canonical SMILES(RDKit),C[N@H+](Cc1ccccc1C(=O)NCC1CCCCC1)Cc1ccc2c(c1C(=O)O)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),439.532
MW Monoisotopic(RDKit),439.22274851209
MolLogP(RDKit),2.6385
XLogP(SDF),
XLogP(CDK),4.278
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),89.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.58852232718175
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,24486753.14133363
qed,0.5885223271817501
Chi0,22.501424753254117
Chi1,15.52487714325259
TPSA,89.30000000000001
Chi0n,18.48561967236172
Chi0v,18.48561967236172
Chi1n,11.347999343937873
Chi1v,11.347999343937873
Chi2n,8.820493543211503
Chi2v,8.820493543211503
Chi3n,6.36190087920399
Chi3v,6.36190087920399
Chi4n,4.727175393838476
Chi4v,4.727175393838476
MolMR,119.16920000000009
MolWt,439.5320000000002
fr_SH,0
Kappa1,22.14529687591284
Kappa2,10.040502494647962
Kappa3,5.045498224283677
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,984.2927133662389
MolLogP,2.6384999999999996
NOCount,7
