DLiP-ID,C100HK
DLiP-Mol-ID,29649
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20F4N6S/c24-19-8-20-13(6-16(10-28)31-20)5-14(19)11-33-3-1-15(2-4-33)32-21-18-7-17(9-23(25,26)27)34-22(18)30-12-29-21/h5-8,12,15,31H,1-4,9,11H2,(H,29,30,32)"
Standard Inchi Key(RDKit),FDPSNDOCRPXFCD-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)c(F)cc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),488.514
MW Monoisotopic(RDKit),488.14062852
MolLogP(RDKit),5.36468
XLogP(SDF),
XLogP(CDK),4.229
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),80.63
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.369652157441571
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,59731766.413232215
qed,0.36965215744157087
Chi0,23.871668241257193
Chi1,16.269302745435496
TPSA,80.63
Chi0n,17.91570286675765
Chi0v,18.732199447685375
Chi1n,10.775311671337954
Chi1v,11.59180825226568
Chi2n,8.466213538445833
Chi2v,9.581413409735081
Chi3n,5.985686225329546
Chi3v,7.028735244006037
Chi4n,4.3577192520950545
Chi4v,5.384078676592299
MolMR,122.06740000000005
MolWt,488.5140000000002
fr_SH,0
Kappa1,22.556711459147824
Kappa2,8.848799811640353
Kappa3,4.830773220465572
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1378.1193541170157
MolLogP,5.3646800000000034
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.2296451613338375
SMR_VSA1,17.56166019069928
SMR_VSA2,5.261891554738487
SMR_VSA3,19.8518452936921
SMR_VSA4,0.0
SMR_VSA5,38.02536062128204
SMR_VSA6,18.406301415831482
SMR_VSA7,52.544535869903626
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
