DLiP-ID,C0035H
DLiP-Mol-ID,33587
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)"
Standard Inchi Key(RDKit),YQUVCSBJEUQKSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(O)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),154.121
MW Monoisotopic(RDKit),154.026608672
MolLogP(RDKit),0.796
XLogP(SDF),
XLogP(CDK),0.986
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),11
QED Weighted(RDKit),0.522491224882728
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,271.8125711057006
qed,0.5224912248827285
Chi0,8.430721420318147
Chi1,5.1090609052806215
TPSA,77.76
Chi0n,5.481939884532615
Chi0v,5.481939884532615
Chi1n,2.862978410194454
Chi1v,2.862978410194454
Chi2n,2.0086460883926556
Chi2v,2.0086460883926556
Chi3n,1.2223646204607133
Chi3v,1.2223646204607133
Chi4n,0.6564678813650245
Chi4v,0.6564678813650245
MolMR,36.730900000000005
MolWt,154.12099999999998
fr_SH,0
Kappa1,7.397642626480085
Kappa2,2.4943628247787246
Kappa3,1.402945662258468
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,292.492089776386
MolLogP,0.7959999999999998
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.1515496683060507
SMR_VSA1,20.11411936859394
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,23.762552697081826
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,62.34056859052537
NHOHCount,3
PEOE_VSA1,15.319582184522117
PEOE_VSA2,0.0
