DLiP-ID,C000KU
DLiP-Mol-ID,30965
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10FN3O2S/c13-7-3-1-6(2-4-7)9-5-8(10(14)17)11(19-9)16-12(15)18/h1-5H,(H2,14,17)(H3,15,16,18)"
Standard Inchi Key(RDKit),SAYGKHKXGCPTLX-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),279.296
MW Monoisotopic(RDKit),279.04777578
MolLogP(RDKit),2.1437
XLogP(SDF),
XLogP(CDK),0.787
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),98.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.801740458351564
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,20481.24456013511
qed,0.8017404583515643
Chi0,13.991199352633217
Chi1,8.96923425058676
TPSA,98.21000000000001
Chi0n,9.644161228728198
Chi0v,10.460657809655924
Chi1n,5.231546560857511
Chi1v,6.048043141785237
Chi2n,3.7138442549043122
Chi2v,4.766043096227555
Chi3n,2.3630050171042005
Chi3v,3.4625710311728195
Chi4n,1.5352245567481044
Chi4v,2.606946014888994
MolMR,71.437
MolWt,279.29600000000005
fr_SH,0
Kappa1,13.031875956059329
Kappa2,5.06776102580125
Kappa3,2.885265460507626
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,636.9240947486607
MolLogP,2.1437
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.445262387764664
SMR_VSA1,13.979489415818463
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,11.46733495432437
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,41.71250767505094
SMR_VSA8,0.0
SMR_VSA9,10.440598685398296
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,111.57696800541297
NHOHCount,5
PEOE_VSA1,11.46733495432437
PEOE_VSA2,10.111325788078153
PEOE_VSA3,9.184952231746642
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,23.762552697081826
PEOE_VSA8,4.877147193701299
PEOE_VSA9,5.563451491696996
RingCount,2
SMR_VSA10,28.27616209631218
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,279.04777578
NumHDonors,3
PEOE_VSA10,10.818302817733763
PEOE_VSA11,0.0
