DLiP-ID,C001XX
DLiP-Mol-ID,26976
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H11N3/c1-10-3-5-11(6-4-10)12-9-16-8-2-7-14-13(16)15-12/h2-9H,1H3"
Standard Inchi Key(RDKit),FXPRTYODRQWLLM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2cn3cccnc3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),209.252
MW Monoisotopic(RDKit),209.095297352
MolLogP(RDKit),2.70472
XLogP(SDF),
XLogP(CDK),3.733
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),30.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.616476385680564
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,9679.658821706646
qed,0.6164763856805637
Chi0,10.957819157813608
Chi1,7.8264998404949235
TPSA,30.19
Chi0n,8.960442940016883
Chi0v,8.960442940016883
Chi1n,5.195732866548798
Chi1v,5.195732866548798
Chi2n,3.819130678429562
Chi2v,3.819130678429562
Chi3n,2.58283470034441
