DLiP-ID,P000EC
DLiP-Mol-ID,25446
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N2O7/c1-29(14-18-5-4-6-22(34-3)25(18)27(31)32)15-19-11-23-24(36-16-35-23)12-21(19)26(30)28-13-17-7-9-20(33-2)10-8-17/h4-12H,13-16H2,1-3H3,(H,28,30)(H,31,32)"
Standard Inchi Key(RDKit),ROSKQERDRZMWLB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CNC(=O)c2cc3c(cc2CN(C)Cc2cccc(OC)c2C(=O)O)OCO3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),492.528
MW Monoisotopic(RDKit),492.189651236
MolLogP(RDKit),3.6927
XLogP(SDF),
XLogP(CDK),3.532
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),106.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.441448089751675
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,144120010.27852878
qed,0.44144808975167515
Chi0,25.656125291633362
Chi1,17.38858044840886
TPSA,106.56000000000002
Chi0n,20.368496481235915
Chi0v,20.368496481235915
Chi1n,11.306165888447113
Chi1v,11.306165888447113
Chi2n,8.36520812038817
Chi2v,8.36520812038817
Chi3n,5.881989770062052
Chi3v,5.881989770062052
Chi4n,4.105885875442937
Chi4v,4.105885875442937
MolMR,131.8535
MolWt,492.5280000000003
fr_SH,0
Kappa1,24.87102135835934
Kappa2,11.002501628395073
Kappa3,5.523038037939215
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1257.72215727517
MolLogP,3.692700000000002
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
