DLiP-ID,T007ZZ
DLiP-Mol-ID,26383
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N5O4/c1-13(2)28-12-15-9-14(7-8-16(15)25-19(23(28)32)10-21(29)30)22(31)24-11-20-26-17-5-3-4-6-18(17)27-20/h3-9,13,19,25H,10-12H2,1-2H3,(H,24,31)(H,26,27)(H,29,30)/t19-/m0/s1"
Standard Inchi Key(RDKit),ZKSIEMHDCDZHLO-IBGZPJMESA-N
Canonical SMILES(RDKit),CC(C)N1Cc2cc(C(=O)NCc3nc4ccccc4[nH]3)ccc2N[C@@H](CC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),435.484
MW Monoisotopic(RDKit),435.19065428
MolLogP(RDKit),2.4987
XLogP(SDF),
XLogP(CDK),2.474
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.471119250545175
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,16728578.068699736
qed,0.471119250545175
Chi0,22.827698166887178
Chi1,15.312570843487293
TPSA,127.42000000000002
Chi0n,17.88385842415774
Chi0v,17.88385842415774
Chi1n,10.451123083767754
Chi1v,10.451123083767754
Chi2n,8.109923441539369
Chi2v,8.109923441539369
Chi3n,5.475928217832692
Chi3v,5.475928217832692
Chi4n,3.823070268985909
Chi4v,3.823070268985909
MolMR,119.05540000000006
MolWt,435.48400000000015
fr_SH,0
Kappa1,21.355783533019213
Kappa2,8.69876169034511
Kappa3,4.412104108988241
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1153.0983980747712
MolLogP,2.4986999999999995
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.5256200071665604
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.184655376751223
SMR_VSA4,0.0
SMR_VSA5,45.44149049242833
SMR_VSA6,5.316788604006331
SMR_VSA7,59.415876960625184
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,184.3809183394406
NHOHCount,4
PEOE_VSA1,25.62399285465105
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,49.74276123338629
PEOE_VSA8,23.837435001441094
PEOE_VSA9,23.99897946407111
RingCount,4
SMR_VSA10,34.504452456570945
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,435.19065428
NumHDonors,4
PEOE_VSA10,11.866245327147887
PEOE_VSA11,0.0
