DLiP-ID,T002II
DLiP-Mol-ID,18776
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H36N2O5/c1-4-16-15-29-8-6-17-10-23(30)25(33-2)12-20(17)22(29)9-19(16)14-27(32)21-13-26(34-3)24(31)11-18(21)5-7-28-27/h10-13,16,19,22,28,30-32H,4-9,14-15H2,1-3H3/t16-,19+,22-,27-/m0/s1"
Standard Inchi Key(RDKit),IIFHKWNCTVOSKL-OKGGWNPJSA-N
Canonical SMILES(RDKit),CC[C@H]1CN2CCc3cc(O)c(OC)cc3[C@@H]2C[C@@H]1C[C@@]1(O)NCCc2cc(O)c(OC)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),468.594
MW Monoisotopic(RDKit),468.262422252
MolLogP(RDKit),3.4414
XLogP(SDF),
XLogP(CDK),2.822
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),94.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.534060349461809
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,52174231.58441593
qed,0.5340603494618089
Chi0,24.03480494807372
Chi1,16.361853649866987
TPSA,94.42000000000002
Chi0n,20.303657096747322
Chi0v,20.303657096747322
Chi1n,12.380191026987973
Chi1v,12.380191026987973
Chi2n,10.070093375932936
Chi2v,10.070093375932936
Chi3n,8.314551785695153
Chi3v,8.314551785695153
Chi4n,6.49840184284569
Chi4v,6.49840184284569
MolMR,129.44410000000002
MolWt,468.5940000000003
fr_SH,0
Kappa1,23.27069495170846
Kappa2,8.947578993943809
Kappa3,3.8945278482283947
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1073.4713519918544
MolLogP,3.4414000000000016
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.469248658066833
SMR_VSA1,24.793308092122217
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,11.835812092322787
SMR_VSA5,50.79467173743889
SMR_VSA6,33.85386430029279
SMR_VSA7,46.519274240634424
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.86462315033566
NHOHCount,4
