DLiP-ID,I0002W
DLiP-Mol-ID,27787
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H15F4N3O3/c22-14-13-12(10-26-18(13)17(25)16(24)15(14)23)19(29)21(31)28-8-6-27(7-9-28)20(30)11-4-2-1-3-5-11/h1-5,10,26H,6-9H2"
Standard Inchi Key(RDKit),BDEQBANKDGSIBF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(F)c(F)c(F)c(F)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),433.361
MW Monoisotopic(RDKit),433.10495422
MolLogP(RDKit),2.8916
XLogP(SDF),
XLogP(CDK),3.476
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.227042529592187
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,12985666.741745824
qed,0.2270425295921872
Chi0,22.283728092517165
Chi1,14.80743820803829
TPSA,73.48
Chi0n,15.92355869431236
Chi0v,15.92355869431236
Chi1n,9.318459912994143
Chi1v,9.318459912994143
Chi2n,6.987830211574968
Chi2v,6.987830211574968
Chi3n,5.210983694589399
Chi3v,5.210983694589399
Chi4n,3.5504509939401783
Chi4v,3.5504509939401783
MolMR,101.38670000000008
MolWt,433.3610000000001
fr_SH,0
Kappa1,20.577448506638923
Kappa2,7.858788055820341
Kappa3,3.431875976753022
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1201.7954911437678
MolLogP,2.8916000000000004
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5135799680204702
SMR_VSA1,31.94527174291475
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,26.1790256236503
SMR_VSA7,70.9244652614987
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.59446117780053
NHOHCount,1
PEOE_VSA1,14.783797982648164
PEOE_VSA2,14.383611552215466
PEOE_VSA3,17.56166019069928
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,12.13273413692322
PEOE_VSA8,37.93932068696037
PEOE_VSA9,16.466376423778055
RingCount,4
SMR_VSA10,28.50052933714901
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,433.10495422
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,23.26888336418358
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,58.56042801136641
SlogP_VSA3,4.794537184071822
SlogP_VSA4,23.26888336418358
SlogP_VSA5,20.715977351537635
SlogP_VSA6,36.52867891392113
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,4
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,51.42568446367808
EState_VSA2,32.08620535300181
EState_VSA3,5.563451491696996
EState_VSA4,6.196843571613076
EState_VSA5,9.799819461700956
EState_VSA6,30.33183534230805
EState_VSA7,0.0
EState_VSA8,4.9839785209472085
EState_VSA9,0.0
SlogP_VSA10,17.56166019069928
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,55.06296837172323
