DLiP-ID,C002WJ
DLiP-Mol-ID,33265
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N6O3/c1-35-21-9-7-20(8-10-21)30-17-15-29(16-18-30)13-4-12-27-24(33)19-32-25-22(5-2-11-28-25)31-14-3-6-23(31)26(32)34/h2-3,5-11,14H,4,12-13,15-19H2,1H3,(H,27,33)"
Standard Inchi Key(RDKit),AMWSWALKGNCXCX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(N2CCN(CCCNC(=O)Cn3c(=O)c4cccn4c4cccnc43)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),474.565
MW Monoisotopic(RDKit),474.23793882
MolLogP(RDKit),1.9863
XLogP(SDF),
XLogP(CDK),3.793
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),84.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.393432555687169
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,164002187.2071983
qed,0.3934325556871689
Chi0,24.200095366003374
Chi1,17.135361590784804
TPSA,84.11
Chi0n,19.891169790280017
Chi0v,19.891169790280017
Chi1n,11.965183477010305
Chi1v,11.965183477010305
Chi2n,8.73108353768062
Chi2v,8.73108353768062
Chi3n,6.579194300955288
Chi3v,6.579194300955288
Chi4n,4.683574269010179
Chi4v,4.683574269010179
MolMR,136.2316999999999
MolWt,474.5650000000002
fr_SH,0
Kappa1,22.918280221525716
Kappa2,10.186443013929303
Kappa3,4.854994744486537
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
