DLiP-ID,P0001H
DLiP-Mol-ID,22484
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3/t12-,17+/m0/s1"
Standard Inchi Key(RDKit),BIIVYFLTOXDAOV-YVEFUNNKSA-N
Canonical SMILES(RDKit),CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.846
MW Monoisotopic(RDKit),401.10300042
MolLogP(RDKit),3.3046
XLogP(SDF),
XLogP(CDK),3.951
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),94.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.60959893675932
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,2097158.9013421573
qed,0.6095989367593202
Chi0,19.99927104214099
Chi1,13.363081100704115
TPSA,94.14
Chi0n,15.223437933013438
Chi0v,15.979366879031893
Chi1n,9.006992141405911
Chi1v,9.384956614415138
Chi2n,7.212124292395519
Chi2v,7.619324419136125
Chi3n,5.29295250012291
Chi3v,5.622540721162955
Chi4n,3.900054174140646
Chi4v,4.128917859770369
MolMR,107.12140000000004
MolWt,401.8460000000001
fr_SH,0
Kappa1,18.806220040307586
Kappa2,7.1274310435417405
Kappa3,3.133014463437629
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1109.8816324905745
MolLogP,3.3046000000000015
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9967325788263286
SMR_VSA1,19.736733121575462
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,18.442694056835705
SMR_VSA6,20.13718479450234
SMR_VSA7,57.20761479218034
SMR_VSA8,0.0
SMR_VSA9,22.822722577139245
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,1
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,165.7661234678725
NHOHCount,3
PEOE_VSA1,24.636642852425943
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,32.14598414843899
PEOE_VSA8,35.72229957239118
PEOE_VSA9,11.126599701489628
RingCount,4
SMR_VSA10,22.57018424633955
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,401.10300041999994
NumHDonors,3
PEOE_VSA10,28.22851544154929
PEOE_VSA11,5.428790391900541
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.428790391900541
SlogP_VSA2,46.46064309762323
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,17.9021791607844
SlogP_VSA6,45.609890531894834
SlogP_VSA7,5.022633313741326
SlogP_VSA8,22.292943266678478
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.450662825810234
EState_VSA2,28.22851544154929
EState_VSA3,29.115114325973902
EState_VSA4,12.611123474374185
EState_VSA5,6.06636706846161
EState_VSA6,24.26546827384644
EState_VSA7,11.947581713527669
EState_VSA8,0.0
EState_VSA9,16.018090827285864
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
