DLiP-ID,T002WE
DLiP-Mol-ID,19386
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N6O3/c29-20(30)13-18(16-3-1-9-24-14-16)25-22(31)17-4-2-12-28-19(26-27-21(17)28)6-5-15-7-10-23-11-8-15/h1-6,9,12,14-15,18,23H,7-8,10-11,13H2,(H,25,31)(H,29,30)/b6-5+/t18-/m0/s1"
Standard Inchi Key(RDKit),JOAIUWNMPCYJNG-QWNKOJSDSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)c1cccn2c(/C=C/C3CCNCC3)nnc12)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),420.473
MW Monoisotopic(RDKit),420.190988628
MolLogP(RDKit),2.0829
XLogP(SDF),
XLogP(CDK),2.939
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),121.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.534932693536566
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,16656396.468045482
qed,0.5349326935365657
Chi0,21.631181265251033
Chi1,15.114193540729628
TPSA,121.51
Chi0n,16.93895142544614
Chi0v,16.93895142544614
Chi1n,10.268334799195532
Chi1v,10.268334799195532
Chi2n,7.530486603598633
Chi2v,7.530486603598633
Chi3n,5.377867127228969
Chi3v,5.377867127228969
Chi4n,3.7285606581531376
Chi4v,3.7285606581531376
MolMR,114.31170000000003
MolWt,420.4730000000002
fr_SH,0
Kappa1,20.673451885937673
Kappa2,9.480717072829817
Kappa3,4.945289956302592
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1089.0791233464563
MolLogP,2.0828999999999995
NOCount,9
fr_Ar_N,4
fr_COO2,1
fr_urea,0
BalabanJ,1.567536777300624
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,30.215613951823737
SMR_VSA4,5.917906046161393
SMR_VSA5,25.30430569792599
