DLiP-ID,T00554
DLiP-Mol-ID,21943
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25N5O4/c1-13-4-3-5-18(24-13)22-8-9-23-20(29)14-6-7-16-15(10-14)12-26(2)21(30)17(25-16)11-19(27)28/h3-7,10,17,25H,8-9,11-12H2,1-2H3,(H,22,24)(H,23,29)(H,27,28)/t17-/m0/s1"
Standard Inchi Key(RDKit),QCUWGXMOSCSKEM-KRWDZBQOSA-N
Canonical SMILES(RDKit),Cc1cccc(NCCNC(=O)c2ccc3c(c2)CN(C)C(=O)[C@H](CC(=O)O)N3)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.462
MW Monoisotopic(RDKit),411.19065428
MolLogP(RDKit),1.45912
XLogP(SDF),
XLogP(CDK),1.825
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),123.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.50865795106934
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4459589.647029619
qed,0.5086579510693402
Chi0,21.672997628507925
Chi1,14.329407595892901
TPSA,123.66
Chi0n,16.936264666965034
Chi0v,16.936264666965034
Chi1n,9.652103917807967
Chi1v,9.652103917807967
Chi2n,7.20789850162724
Chi2v,7.20789850162724
Chi3n,4.762746033615405
Chi3v,4.762746033615405
Chi4n,3.278617390825068
Chi4v,3.278617390825068
MolMR,112.37640000000006
MolWt,411.46200000000016
fr_SH,0
Kappa1,21.097609250477134
Kappa2,9.251803306920067
Kappa3,5.250569223721077
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,962.1629505299667
MolLogP,1.4591199999999998
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6084936485446164
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,0.0
SMR_VSA5,25.93115605767717
SMR_VSA6,30.770762002515003
SMR_VSA7,53.21903338901211
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.03995557029916
NHOHCount,4
PEOE_VSA1,25.956802937710176
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
