DLiP-ID,I000UF
DLiP-Mol-ID,28979
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H27FN4O2/c1-16-15-32(11-9-17-14-30-22-5-3-2-4-19(17)22)27-21(28)12-18(13-25(27)34-16)31-23-8-10-29-26-20(23)6-7-24(26)33/h2-5,8,10,12-14,16,24,30,33H,6-7,9,11,15H2,1H3,(H,29,31)/t16-,24-/m1/s1"
Standard Inchi Key(RDKit),NWOKQSRVTPTGPD-VOIUYBSRSA-N
Canonical SMILES(RDKit),C[C@@H]1CN(CCc2c[nH]c3ccccc23)c2c(F)cc(Nc3ccnc4c3CC[C@H]4O)cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),458.537
MW Monoisotopic(RDKit),458.211804324
MolLogP(RDKit),5.25520000000001
XLogP(SDF),
XLogP(CDK),4.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.380734917964721
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,111217346.0408396
qed,0.38073491796472103
Chi0,23.233475560822992
Chi1,16.563683283512805
TPSA,73.41000000000001
Chi0n,19.014240416991587
Chi0v,19.014240416991587
Chi1n,11.795913859745381
Chi1v,11.795913859745381
Chi2n,9.19057251067394
Chi2v,9.19057251067394
Chi3n,6.827836915265745
Chi3v,6.827836915265745
Chi4n,5.244217477419338
Chi4v,5.244217477419338
MolMR,131.50620000000004
MolWt,458.5370000000002
fr_SH,0
Kappa1,20.986858423289327
Kappa2,8.326894230234164
Kappa3,3.658852548427775
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1368.256510669615
MolLogP,5.255200000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.266723473292203
SMR_VSA1,14.233805396315574
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,38.394134843965254
SMR_VSA6,23.30621114668196
SMR_VSA7,77.49630844174578
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.94694931187598
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,55.51220625724747
PEOE_VSA8,47.28250809904852
PEOE_VSA9,18.34265078850934
RingCount,6
SMR_VSA10,27.96508375613174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,458.211804324
NumHDonors,3
PEOE_VSA10,17.54086449571577
PEOE_VSA11,5.817220841045895
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,34.26796363630857
SlogP_VSA3,12.841643245852019
SlogP_VSA4,5.817220841045895
SlogP_VSA5,36.26935618860739
SlogP_VSA6,54.858256622457425
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
