DLiP-ID,C001G9
DLiP-Mol-ID,32324
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N4O4/c20-18(21)11-4-1-10(2-5-11)3-8-15-16-13-7-6-12(19(22)23)9-14(13)17-15/h1-9H,(H,16,17)/b8-3+"
Standard Inchi Key(RDKit),STPWTFLJRZKJFV-FPYGCLRLSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc(/C=C/c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),310.269
MW Monoisotopic(RDKit),310.0702048
MolLogP(RDKit),3.5497
XLogP(SDF),
XLogP(CDK),3.326
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),114.96
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.584101713634068
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,218945.45283044933
qed,0.5841017136340678
Chi0,16.396976746569035
Chi1,11.024877143252587
TPSA,114.96000000000001
Chi0n,11.670786371061961
Chi0v,11.670786371061961
Chi1n,6.594808613621601
Chi1v,6.594808613621601
Chi2n,4.76258093919025
Chi2v,4.76258093919025
Chi3n,3.23333536666894
Chi3v,3.23333536666894
Chi4n,2.0887386176538576
Chi4v,2.0887386176538576
MolMR,84.7725
MolWt,310.269
fr_SH,0
Kappa1,14.389899261577582
Kappa2,5.6799685826292015
Kappa3,3.051343660090972
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,928.3048019858526
MolLogP,3.5497000000000014
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8525504823817933
SMR_VSA1,9.846622097635342
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,74.08106200645935
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,2
fr_oxime,0
fr_quatN,0
LabuteASA,128.94520290086558
NHOHCount,1
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,20.228636537531145
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.076020106833881
PEOE_VSA7,29.838572803915707
PEOE_VSA8,24.26546827384644
PEOE_VSA9,20.880023532867867
RingCount,3
SMR_VSA10,34.56021419826741
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,310.07020480000006
NumHDonors,1
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.374772549367124
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,19.81457913952976
SlogP_VSA3,0.0
SlogP_VSA4,20.228636537531145
SlogP_VSA5,11.387855989696924
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,23.185441648900287
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,9.846622097635342
EState_VSA2,11.374772549367124
EState_VSA3,16.85780593323245
EState_VSA4,5.563451491696996
EState_VSA5,24.26546827384644
EState_VSA6,30.351141419052592
EState_VSA7,0.0
EState_VSA8,9.967957041894417
EState_VSA9,0.0
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
