DLiP-ID,P000FJ
DLiP-Mol-ID,25752
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N6O3/c1-12-15-6-5-13(9-16(15)27-26-12)23-19-7-8-22-21(25-19)24-14-10-17(28-2)20(30-4)18(11-14)29-3/h5-11H,1-4H3,(H,26,27)(H2,22,23,24,25)"
Standard Inchi Key(RDKit),SQQAPOSROFWHIB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),406.446
MW Monoisotopic(RDKit),406.175338564
MolLogP(RDKit),4.17432
XLogP(SDF),
XLogP(CDK),3.393
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),106.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.419775162705106
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,9069541.303962577
qed,0.41977516270510623
Chi0,21.08721119088102
Chi1,14.60521804582373
TPSA,106.21000000000001
Chi0n,17.107837542218846
Chi0v,17.107837542218846
Chi1n,9.228093063604424
Chi1v,9.228093063604424
Chi2n,6.4988829401742505
Chi2v,6.4988829401742505
Chi3n,4.602270775974336
Chi3v,4.602270775974336
Chi4n,3.1530883973122776
Chi4v,3.1530883973122776
MolMR,115.52610000000001
MolWt,406.4460000000002
fr_SH,0
Kappa1,19.312671839952426
Kappa2,8.157085280570948
Kappa3,3.7705262878838637
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,3
