DLiP-ID,C000LI
DLiP-Mol-ID,30998
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18O5/c1-21-13-7-8-15(17(20)10-13)16(19)9-5-12-4-6-14(22-2)11-18(12)23-3/h4-11,20H,1-3H3/b9-5+"
Standard Inchi Key(RDKit),ZTIPWOFLPVWZDX-WEVVVXLNSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),314.337
MW Monoisotopic(RDKit),314.115423676
MolLogP(RDKit),3.3141
XLogP(SDF),
XLogP(CDK),3.616
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),64.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.654355122360727
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,150045.33836257225
qed,0.6543551223607273
Chi0,16.81962647737941
Chi1,11.083248657969117
TPSA,64.99000000000001
Chi0n,13.199008910872418
Chi0v,13.199008910872418
Chi1n,6.901599596017426
Chi1v,6.901599596017426
Chi2n,4.688544311539503
Chi2v,4.688544311539503
Chi3n,3.3252694207702507
Chi3v,3.3252694207702507
Chi4n,2.058162275620394
Chi4v,2.058162275620394
MolMR,87.56930000000004
