DLiP-ID,P000CF
DLiP-Mol-ID,25062
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H28F3N3O3/c1-2-10-29-11-8-20(9-12-29)30(15-17-6-7-21-22(13-17)33-16-32-21)23(31)28-19-5-3-4-18(14-19)24(25,26)27/h3-7,13-14,20H,2,8-12,15-16H2,1H3,(H,28,31)"
Standard Inchi Key(RDKit),PLBHVOJLFQGHAQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN1CCC(N(Cc2ccc3c(c2)OCO3)C(=O)Nc2cccc(C(F)(F)F)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),463.5
MW Monoisotopic(RDKit),463.208276416
MolLogP(RDKit),5.34260000000001
XLogP(SDF),
XLogP(CDK),4.359
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.04
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.628259936040495
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBC12
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,31651490.704607096
qed,0.6282599360404948
Chi0,23.424074484064487
Chi1,15.829849703784385
TPSA,54.040000000000006
Chi0n,18.528721884428577
