DLiP-ID,J1009B
DLiP-Mol-ID,37037
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18N2O4/c1-13-17(18(21-26-13)14-7-5-4-6-8-14)19(23)22(2)16-11-9-15(10-12-16)20(24)25-3/h4-12H,1-3H3"
Standard Inchi Key(RDKit),DEHHQVOUTOVSFH-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1ccc(N(C)C(=O)c2c(-c3ccccc3)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),350.374
MW Monoisotopic(RDKit),350.126657056
MolLogP(RDKit),3.71322
XLogP(SDF),
XLogP(CDK),3.805
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.670760380458353
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1038859.0189832201
qed,0.6707603804583534
Chi0,18.681433796945203
Chi1,12.524075805453153
TPSA,72.64
Chi0n,14.723572775562003
Chi0v,14.723572775562003
Chi1n,8.007403853545416
Chi1v,8.007403853545416
Chi2n,5.731017812139971
Chi2v,5.731017812139971
Chi3n,4.104154752201522
Chi3v,4.104154752201522
Chi4n,2.641005186677251
Chi4v,2.641005186677251
MolMR,97.19100000000003
MolWt,350.3740000000001
fr_SH,0
Kappa1,17.414237296460655
Kappa2,7.226189719938787
Kappa3,3.2131944046443994
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,930.2048520454427
MolLogP,3.7132200000000024
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
