DLiP-ID,P00064
DLiP-Mol-ID,23516
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H11NO/c1-8(13)10-7-12(2)11-6-4-3-5-9(10)11/h3-7H,1-2H3"
Standard Inchi Key(RDKit),HYLFRICFKVJJOZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)c1cn(C)c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),173.215
MW Monoisotopic(RDKit),173.084063972
MolLogP(RDKit),2.3809
XLogP(SDF),
XLogP(CDK),2.274
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),22.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.606702495728389
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,1319.1481770761193
qed,0.6067024957283894
Chi0,9.422285251880869
Chi1,6.198377302757662
TPSA,22.0
Chi0n,7.742213231911951
Chi0v,7.742213231911951
Chi1n,4.249168832013469
Chi1v,4.249168832013469
Chi2n,3.2270149881208856
Chi2v,3.2270149881208856
Chi3n,2.276252185901614
Chi3v,2.276252185901614
Chi4n,1.622243736263287
Chi4v,1.622243736263287
MolMR,52.92350000000002
MolWt,173.215
fr_SH,0
Kappa1,8.047715036869382
Kappa2,2.730593320063392
Kappa3,1.1461639308417437
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,467.8950565262758
MolLogP,2.3809000000000005
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.8533880519563715
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,6.923737199690624
SMR_VSA6,0.0
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,76.78854800207537
NHOHCount,0
PEOE_VSA1,4.567099647791355
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,12.990104268152233
PEOE_VSA8,29.710891978068318
PEOE_VSA9,0.0
