DLiP-ID,T005NM
DLiP-Mol-ID,22743
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H26N2O4/c32-27-18-17-26(31(27)20-24-9-5-2-6-10-24)28(33)30-25(29(34)35)19-23-15-13-22(14-16-23)12-11-21-7-3-1-4-8-21/h1-10,13-16,25-26H,17-20H2,(H,30,33)(H,34,35)/t25-,26-/m0/s1"
Standard Inchi Key(RDKit),RQBROEVOERHIRF-UIOOFZCWSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)[C@@H]1CCC(=O)N1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),466.537
MW Monoisotopic(RDKit),466.189257312
MolLogP(RDKit),3.3895
XLogP(SDF),
XLogP(CDK),4.768
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),86.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.522896272548645
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,102650588.25114478
qed,0.5228962725486453
Chi0,24.622745096813752
Chi1,16.991203638441373
TPSA,86.71
