DLiP-ID,T001RS
DLiP-Mol-ID,17637
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17Cl2NO3S/c19-13-6-7-17(15(20)9-13)25-16-4-2-1-3-12(16)5-8-18(24)21-10-14(23)11-22/h1-9,14,22-23H,10-11H2,(H,21,24)/b8-5+"
Standard Inchi Key(RDKit),GDSNOIRCZLKCLF-VMPITWQZSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccccc1Sc1ccc(Cl)cc1Cl)NCC(O)CO
SMILES(SDF),
MW(SDF),
MW(RDKit),398.311
MW Monoisotopic(RDKit),397.030619764
MolLogP(RDKit),3.6272
XLogP(SDF),
XLogP(CDK),3.757
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),69.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.623441079612527
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,357875.9897667804
qed,0.6234410796125268
Chi0,18.2338400397525
Chi1,11.99040230064194
TPSA,69.56
Chi0n,13.154568972215452
Chi0v,15.48292344518009
Chi1n,7.460881279415192
Chi1v,9.033306806361372
Chi2n,5.12951465116691
Chi2v,7.056927514866329
