DLiP-ID,C000LO
DLiP-Mol-ID,31002
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O6S2/c1-28(22,23)20-14-6-3-12(4-7-14)15-10-16(21(19-15)29(2,24)25)13-5-8-17-18(9-13)27-11-26-17/h3-9,16,20H,10-11H2,1-2H3"
Standard Inchi Key(RDKit),OSMAHQXNBUFMMA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CS(=O)(=O)Nc1ccc(C2=NN(S(C)(=O)=O)C(c3ccc4c(c3)OCO4)C2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),437.499
MW Monoisotopic(RDKit),437.071527328
MolLogP(RDKit),1.8975
XLogP(SDF),
XLogP(CDK),2.346
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),114.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.764116790024351
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3547360.7642652267
qed,0.7641167900243512
Chi0,20.81119030894212
Chi1,13.599286215479367
TPSA,114.37
Chi0n,15.693429230600925
Chi0v,17.32642239245638
Chi1n,8.647143718222463
Chi1v,12.386866875545223
Chi2n,6.866441539461617
Chi2v,10.455054764333491
Chi3n,4.515155066285145
Chi3v,6.137362003872506
Chi4n,3.282106812324341
Chi4v,4.751732704113858
MolMR,108.05130000000003
MolWt,437.49900000000025
fr_SH,0
Kappa1,19.52313684177463
Kappa2,6.919751325312625
Kappa3,4.149341990692836
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1190.6022986780702
MolLogP,1.8975
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6398934592211232
SMR_VSA1,26.309319876257973
SMR_VSA2,0.0
SMR_VSA3,4.414218784400288
SMR_VSA4,5.101407525739723
SMR_VSA5,12.462662452073971
SMR_VSA6,24.026575537574725
SMR_VSA7,53.59147246262526
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.59028430863262
NHOHCount,1
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.722094864452088
PEOE_VSA3,16.835593968657875
PEOE_VSA4,9.51562631014001
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,35.392371257240434
PEOE_VSA8,12.10820789760957
PEOE_VSA9,24.26506419894147
RingCount,4
SMR_VSA10,31.44565358426943
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,437.07152732799995
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,26.839524612914996
PEOE_VSA13,0.0
