DLiP-ID,T0075J
DLiP-Mol-ID,25058
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24N4O2S/c1-14(24)21(28)27-23-26-20-17(12-13-18(20)30-23)22(29)25-19(15-8-4-2-5-9-15)16-10-6-3-7-11-16/h2-11,14,17,19H,12-13,24H2,1H3,(H,25,29)(H,26,27,28)/t14-,17?/m0/s1"
Standard Inchi Key(RDKit),WUSWJSSGQFKUHE-MBIQTGHCSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc2c(s1)CCC2C(=O)NC(c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),420.538
MW Monoisotopic(RDKit),420.161997008
MolLogP(RDKit),3.3644
XLogP(SDF),
XLogP(CDK),1.716
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),97.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.569561412968129
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,9765037.06829214
qed,0.5695614129681287
Chi0,21.087211190881014
Chi1,14.524877143252587
TPSA,97.11000000000001
Chi0n,16.669075797919408
Chi0v,17.485572378847134
Chi1n,9.989613472622578
Chi1v,10.806110053550304
Chi2n,7.459589923564127
Chi2v,8.543211679689792
Chi3n,5.230295480490473
Chi3v,6.27665581981805
Chi4n,3.6479617041366006
Chi4v,4.689354540911706
MolMR,118.3248
MolWt,420.53800000000007
fr_SH,0
Kappa1,20.251227841121068
Kappa2,8.769570563786408
Kappa3,4.2692148330337725
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,994.3713731109293
MolLogP,3.3644000000000016
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5491509476101393
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,5.733667477162185
SMR_VSA5,37.766968149999954
SMR_VSA6,5.316788604006331
SMR_VSA7,82.36164885655987
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.08196780894298
NHOHCount,4
PEOE_VSA1,16.367244685174846
PEOE_VSA2,9.589074368143644
