DLiP-ID,P000C2
DLiP-Mol-ID,24935
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H15ClN2O3S2/c15-11-6-5-9(12-8-21-14(18)16-12)7-13(11)22(19,20)17-10-3-1-2-4-10/h5-8,10,17H,1-4H2,(H,16,18)"
Standard Inchi Key(RDKit),PBWTZCXFWIEPCV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]c(-c2ccc(Cl)c(S(=O)(=O)NC3CCCC3)c2)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.872
MW Monoisotopic(RDKit),358.02126202
MolLogP(RDKit),2.9777
XLogP(SDF),
XLogP(CDK),2.88
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.881343340923514
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,134112.26836201758
qed,0.8813433409235144
Chi0,15.742276208189782
Chi1,10.454326925336499
TPSA,79.03
Chi0n,11.634384396022863
Chi0v,14.023306503896771
Chi1n,6.956395132991126
Chi1v,9.697175664849642
Chi2n,5.309704369552538
Chi2v,8.241502070392288
Chi3n,3.7292586427260446
Chi3v,6.4010208565766495
Chi4n,2.6249325044178557
Chi4v,5.044351383330396
MolMR,87.96320000000004
MolWt,358.8720000000002
fr_SH,0
Kappa1,15.734562530823705
Kappa2,6.1555359796129006
Kappa3,3.2710421690273934
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,835.767998195459
MolLogP,2.9777000000000013
NOCount,5
fr_Ar_N,1
