DLiP-ID,T003WT
DLiP-Mol-ID,20952
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N2O3/c1-15(14-19(22)23)13-16-6-8-17(9-7-16)24-12-4-11-21-18-5-2-3-10-20-18/h2-3,5-10,15H,4,11-14H2,1H3,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),MNMNKSRAIMNXQS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(CC(=O)O)Cc1ccc(OCCCNc2ccccn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.412
MW Monoisotopic(RDKit),328.178692628
MolLogP(RDKit),3.6159
XLogP(SDF),
XLogP(CDK),3.902
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.651896958248455
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,250786.66465242385
qed,0.6518969582484548
Chi0,17.200459844932894
Chi1,11.631030293135234
TPSA,71.45
Chi0n,13.942610100567016
Chi0v,13.942610100567016
Chi1n,8.216885271843699
Chi1v,8.216885271843699
Chi2n,5.894878799034342
Chi2v,5.894878799034342
Chi3n,3.591452303790331
Chi3v,3.591452303790331
Chi4n,2.4403704556981434
Chi4v,2.4403704556981434
MolMR,94.40150000000006
MolWt,328.412
fr_SH,0
Kappa1,17.788562695212587
Kappa2,9.55023874379106
Kappa3,6.687334071441059
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,614.2688437139543
MolLogP,3.6159000000000017
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6523952852103276
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.917906046161393
SMR_VSA5,26.186202068468653
SMR_VSA6,18.468426974431825
SMR_VSA7,54.22486454254134
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.24684548703507
NHOHCount,2
PEOE_VSA1,15.160178952647087
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.122838405075452
PEOE_VSA7,48.58846905755685
PEOE_VSA8,19.162421600451662
PEOE_VSA9,6.606881964512918
RingCount,2
SMR_VSA10,11.787168065786878
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,328.178692628
NumHDonors,2
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,29.211449574165258
SlogP_VSA3,11.21535880699783
SlogP_VSA4,5.917906046161393
SlogP_VSA5,25.328831937239638
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
