DLiP-ID,C002HF
DLiP-Mol-ID,31207
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C12H10OS/c13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H
Standard Inchi Key(RDKit),JJHHIJFTHRNPIK-UHFFFAOYSA-N
Canonical SMILES(RDKit),[O-][S+](c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),202.278
MW Monoisotopic(RDKit),202.04523594
MolLogP(RDKit),2.8533
XLogP(SDF),
XLogP(CDK),2.12
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),23.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.686613993727437
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,2580.4142437867595
qed,0.6866139937274375
Chi0,9.803118619434356
Chi1,6.877010097711745
TPSA,23.06
Chi0n,7.589999272823986
Chi0v,8.406495853751712
Chi1n,4.396282162176449
Chi1v,5.546112076437508
Chi2n,2.894833798452917
Chi2v,4.375100318600244
Chi3n,1.9145626804652465
Chi3v,3.3151984346678454
Chi4n,1.22426709372617
Chi4v,2.3050900504275655
MolMR,57.558400000000034
MolWt,202.278
fr_SH,0
Kappa1,9.310661157024793
Kappa2,4.309809561594921
Kappa3,1.9744897959183674
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,346.08118783729265
MolLogP,2.853300000000001
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2962461305928525
SMR_VSA1,4.552749873690364
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,0.0
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.5828883411438
NHOHCount,0
PEOE_VSA1,4.552749873690364
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
