DLiP-ID,T006NQ
DLiP-Mol-ID,24301
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N4O4S/c27-21(15-20-18-7-3-4-8-19(18)22(28)25-24-20)23-16-9-11-17(12-10-16)31(29,30)26-13-5-1-2-6-14-26/h3-4,7-12H,1-2,5-6,13-15H2,(H,23,27)(H,25,28)"
Standard Inchi Key(RDKit),VJUJSTKCGJMGLM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1n[nH]c(=O)c2ccccc12)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),440.525
MW Monoisotopic(RDKit),440.151826248
MolLogP(RDKit),2.669
XLogP(SDF),
XLogP(CDK),2.434
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),112.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.633454103665372
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,12559543.642993893
qed,0.633454103665372
Chi0,21.846724214874854
Chi1,14.947526874062962
TPSA,112.22999999999998
Chi0n,17.004218265142075
Chi0v,17.8207148460698
Chi1n,10.31377333781991
Chi1v,11.75383666662055
Chi2n,7.6126383128399935
Chi2v,9.550573292781658
Chi3n,5.443880914747973
Chi3v,7.356749414634576
Chi4n,3.8048224123014447
Chi4v,5.3219013914838165
MolMR,118.36620000000003
MolWt,440.5250000000004
fr_SH,0
Kappa1,21.201912545319793
Kappa2,8.988281366750673
Kappa3,4.671816772667213
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1244.491087715783
MolLogP,2.6690000000000005
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4632408772283472
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,14.502579607898308
SMR_VSA4,0.0
SMR_VSA5,36.99959159014782
SMR_VSA6,18.406301415831482
SMR_VSA7,64.57866862166517
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.8851330955516
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,9.589074368143644
PEOE_VSA3,13.516478792629975
PEOE_VSA4,9.40389779959727
PEOE_VSA5,0.0
PEOE_VSA6,31.04074445123685
PEOE_VSA7,43.17347858816007
