DLiP-ID,T004OX
DLiP-Mol-ID,20416
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N2O3S/c25-21(12-16-6-2-1-3-7-16)24-18-9-4-10-19(13-18)28-20(14-22(26)27)17-8-5-11-23-15-17/h1-11,13,15,20H,12,14H2,(H,24,25)(H,26,27)"
Standard Inchi Key(RDKit),OSROJZOPEAJDSV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(Sc1cccc(NC(=O)Cc2ccccc2)c1)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.48
MW Monoisotopic(RDKit),392.1194635
MolLogP(RDKit),4.5709
XLogP(SDF),
XLogP(CDK),3.15
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.549069339874039
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2309579.8969486654
qed,0.549069339874039
Chi0,19.769373945685235
Chi1,13.59735678832402
TPSA,79.29
Chi0n,15.116289393419367
Chi0v,15.932785974347093
Chi1n,8.821730613599279
Chi1v,9.701383424854175
Chi2n,6.229097667863907
Chi2v,7.505240042779304
Chi3n,4.019855843324822
Chi3v,5.269305254493446
Chi4n,2.7504522630768338
Chi4v,3.93254684503729
MolMR,110.30550000000002
MolWt,392.4800000000001
fr_SH,0
Kappa1,19.636337691326535
Kappa2,9.710497794580974
Kappa3,5.957185202717755
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,932.7814948034485
MolLogP,4.570900000000003
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6888060281970327
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,22.98706475135197
SMR_VSA6,5.316788604006331
SMR_VSA7,90.25062787969786
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
