DLiP-ID,I001BV
DLiP-Mol-ID,29721
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13N3O2/c21-16-6-5-12-3-1-2-4-14(12)15(16)11-19-20-17(22)13-7-9-18-10-8-13/h1-11,21H,(H,20,22)"
Standard Inchi Key(RDKit),WQSHHAVECQJKLX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NN=Cc1c(O)ccc2ccccc12)c1ccncc1
SMILES(SDF),
MW(SDF),
MW(RDKit),291.31
MW Monoisotopic(RDKit),291.100776656
MolLogP(RDKit),2.7043
XLogP(SDF),
XLogP(CDK),3.602
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.575267221987071
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,150141.1883395623
qed,0.5752672219870706
Chi0,15.363596551749426
Chi1,10.75402019542349
TPSA,74.58
Chi0n,11.600742038049624
Chi0v,11.600742038049624
Chi1n,6.696660352137064
Chi1v,6.696660352137064
Chi2n,4.654514491572354
Chi2v,4.654514491572354
Chi3n,3.2499289444718764
Chi3v,3.2499289444718764
Chi4n,2.1430624502027102
Chi4v,2.1430624502027102
MolMR,84.91000000000001
MolWt,291.31
fr_SH,0
Kappa1,13.758455946810924
Kappa2,6.05053824746421
Kappa3,2.7821170445948695
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
