DLiP-ID,C0012E
DLiP-Mol-ID,31733
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H13ClN2O2/c20-16-8-4-3-7-15(16)18-10-9-12(24-18)11-17-13-5-1-2-6-14(13)19(23)22-21-17/h1-10H,11H2,(H,22,23)"
Standard Inchi Key(RDKit),BGGXKJVLSGUKJU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1nnc(Cc2ccc(-c3ccccc3Cl)o2)c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),336.778
MW Monoisotopic(RDKit),336.066555336
MolLogP(RDKit),4.8396
XLogP(SDF),
XLogP(CDK),4.644
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.581262930526051
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,600903.9359552597
qed,0.5812629305260514
Chi0,16.518297090128677
Chi1,11.720346690612276
TPSA,59.150000000000006
Chi0n,12.608463023055773
Chi0v,13.364391969074228
Chi1n,7.490541842307172
Chi1v,7.8685063153164
Chi2n,5.438466549052503
Chi2v,5.845666675793109
Chi3n,3.8869459610168153
Chi3v,4.216534182056861
Chi4n,2.719528185878239
Chi4v,2.9483918715079627
MolMR,93.16280000000002
MolWt,336.7780000000001
fr_SH,0
Kappa1,14.724013348250454
Kappa2,5.9808367512530145
Kappa3,2.6114095782938658
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1026.7435471299855
MolLogP,4.839600000000003
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.704923578524474
SMR_VSA1,9.523678331894054
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,77.14047941208034
SMR_VSA8,0.0
SMR_VSA9,17.20368724700681
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.8917769512091
NHOHCount,1
PEOE_VSA1,9.523678331894054
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,5.098681808301038
PEOE_VSA6,41.932775232540564
PEOE_VSA7,30.33183534230805
PEOE_VSA8,16.335899920626588
PEOE_VSA9,17.1373829315158
RingCount,4
SMR_VSA10,22.373388319162107
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,336.066555336
NumHDonors,1
PEOE_VSA10,11.520494837748885
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,15.303891011442781
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,11.454175413722904
SlogP_VSA6,65.08082162166946
SlogP_VSA7,5.022633313741326
SlogP_VSA8,22.09614733950103
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.879988336435371
EState_VSA3,22.589926570006575
EState_VSA4,22.403851119884695
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,60.6636706846161
EState_VSA8,10.197363616602075
EState_VSA9,16.018090827285864
SlogP_VSA10,0.0
SlogP_VSA11,5.879988336435371
SlogP_VSA12,11.600939890232516
