DLiP-ID,C001HG
DLiP-Mol-ID,32369
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24F2N4/c1-15-6-4-5-7-18(15)21-16(13-24-10-11-26(2)3)14-27(25-21)20-9-8-17(22)12-19(20)23/h4-9,12,14,24H,10-11,13H2,1-3H3"
Standard Inchi Key(RDKit),RLPSFFYCOBWECS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1-c1nn(-c2ccc(F)cc2F)cc1CNCCN(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),370.447
MW Monoisotopic(RDKit),370.196903208
MolLogP(RDKit),3.77712
XLogP(SDF),
XLogP(CDK),4.1
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),33.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.642817181650476
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1357808.282005258
qed,0.642817181650476
Chi0,19.388540578131753
Chi1,12.952397498181156
TPSA,33.09
Chi0n,15.83769222959498
Chi0v,15.83769222959498
Chi1n,8.908751362549948
Chi1v,8.908751362549948
Chi2n,6.838221618268493
Chi2v,6.838221618268493
Chi3n,4.398000295500805
Chi3v,4.398000295500805
Chi4n,2.920579477967047
Chi4v,2.920579477967047
MolMR,103.91370000000005
MolWt,370.4470000000002
fr_SH,0
Kappa1,19.19878379614539
Kappa2,8.413780570646113
Kappa3,4.587622695611433
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,918.2951184049818
MolLogP,3.777120000000002
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9670656887731044
SMR_VSA1,8.78083009534964
SMR_VSA2,0.0
SMR_VSA3,19.99718307830303
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,27.18485677717953
SMR_VSA7,71.42275771633012
SMR_VSA8,0.0
SMR_VSA9,16.944765761229018
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.98324433462943
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,0.0
PEOE_VSA3,13.462633030494823
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,38.715266793665215
PEOE_VSA8,43.0243828412064
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,370.19690320800004
NumHDonors,1
