DLiP-ID,I000M5
DLiP-Mol-ID,28624
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12N4O2/c20-14-6-5-10-3-1-2-4-11(10)12(14)9-17-19-15(21)13-7-8-16-18-13/h1-9,20H,(H,16,18)(H,19,21)"
Standard Inchi Key(RDKit),KMDHNWTYSTVILC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NN=Cc1c(O)ccc2ccccc12)c1ccn[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.287
MW Monoisotopic(RDKit),280.096025624
MolLogP(RDKit),2.0324
XLogP(SDF),
XLogP(CDK),3.637
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.506207130726401
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,114569.54739387831
qed,0.5062071307264014
Chi0,14.656489770562878
Chi1,10.25402019542349
TPSA,90.37
Chi0n,10.946041499670372
Chi0v,10.946041499670372
Chi1n,6.290059792211736
Chi1v,6.290059792211736
Chi2n,4.388941604987618
Chi2v,4.388941604987618
Chi3n,3.0527840934487034
Chi3v,3.0527840934487034
Chi4n,2.0177912156105924
Chi4v,2.0177912156105924
MolMR,79.26070000000001
MolWt,280.287
fr_SH,0
Kappa1,12.862251838410245
Kappa2,5.457679637968214
Kappa3,2.593707780660991
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,809.6614986219216
MolLogP,2.0323999999999995
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8597819701284732
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,15.62315501371246
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,59.918792537389805
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.66838459839788
NHOHCount,3
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.893218992372859
PEOE_VSA3,5.425791397110385
PEOE_VSA4,10.200089334040761
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,22.90518256585281
PEOE_VSA8,11.760295063310071
PEOE_VSA9,6.2146005795353165
RingCount,3
SMR_VSA10,22.894228737816416
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,280.096025624
NumHDonors,3
PEOE_VSA10,11.443439828132366
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.425791397110385
SlogP_VSA2,27.425671320329606
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,16.051916670617278
SlogP_VSA6,53.76282057658406
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
