DLiP-ID,I0003G
DLiP-Mol-ID,27807
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H21NO4/c1-11(2)14-9-15(17(22)18(23)16(14)21)19(24)20-8-7-12-5-3-4-6-13(12)10-20/h3-6,9,11,21-23H,7-8,10H2,1-2H3"
Standard Inchi Key(RDKit),BHMAXGYZHGTXAG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),327.38
MW Monoisotopic(RDKit),327.147058152
MolLogP(RDKit),3.1253
XLogP(SDF),
XLogP(CDK),4.12
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),81.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.740358991498659
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL2-Like_BAX
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,264310.52109449153
qed,0.7403589914986592
Chi0,17.43035694138864
Chi1,11.396754605515328
TPSA,81.00000000000001
Chi0n,13.782524631161095
Chi0v,13.782524631161095
Chi1n,8.036189860805386
Chi1v,8.036189860805386
Chi2n,6.459293572161617
Chi2v,6.459293572161617
Chi3n,4.547283748139866
Chi3v,4.547283748139866
Chi4n,3.111198883476256
Chi4v,3.111198883476256
MolMR,90.41190000000003
MolWt,327.38
fr_SH,0
Kappa1,16.177773454646044
Kappa2,6.074059415970262
Kappa3,2.662495959141857
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,798.1940640564098
MolLogP,3.1253000000000033
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9649495216152861
SMR_VSA1,20.11411936859394
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,32.730958474381225
SMR_VSA6,6.544756405912575
SMR_VSA7,52.58564130909603
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,3
fr_HOCCN,0
fr_Imine,0
fr_amide,1
