DLiP-ID,T003VD
DLiP-Mol-ID,20878
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H33N3O2S/c28-23(29-9-3-5-16-4-1-7-25-15-16)21-6-2-8-27(21)24(30)26-22-19-11-17-10-18(13-19)14-20(22)12-17/h1,4,7,15,17-22H,2-3,5-6,8-14H2,(H,26,30)"
Standard Inchi Key(RDKit),MKZMRCHVXDSLET-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(OCCCc1cccnc1)C1CCCN1C(=S)NC1C2CC3CC(C2)CC1C3
SMILES(SDF),
MW(SDF),
MW(RDKit),427.614
MW Monoisotopic(RDKit),427.229348296
MolLogP(RDKit),3.721
XLogP(SDF),
XLogP(CDK),4.852
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.424238612901691
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,13833282.293988159
qed,0.42423861290169096
Chi0,20.501424753254113
Chi1,14.669836433395457
TPSA,54.46
Chi0n,17.67084934733979
Chi0v,18.487345928267516
Chi1n,11.797797260707261
Chi1v,12.206045551171124
Chi2n,9.889739839935018
Chi2v,10.276438171002006
Chi3n,7.879515895668844
Chi3v,8.231875726079126
Chi4n,6.7324242248027915
Chi4v,7.087034308127739
MolMR,119.81170000000009
MolWt,427.6140000000002
fr_SH,0
Kappa1,20.225969760984405
Kappa2,8.814827833755418
Kappa3,4.20494685598697
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,742.9743629559358
MolLogP,3.7210000000000027
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.1100457519894866
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,23.671624184645573
SMR_VSA5,69.87107626463002
SMR_VSA6,13.151638370425493
SMR_VSA7,30.08987277184637
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,184.50517009042906
NHOHCount,1
PEOE_VSA1,14.953561288656857
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,105.30671079418497
PEOE_VSA8,24.98028437828669
PEOE_VSA9,6.606881964512918
RingCount,6
SMR_VSA10,23.299615615723305
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,427.22934829600007
NumHDonors,1
PEOE_VSA10,6.041840829147961
PEOE_VSA11,5.112436884724758
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,46.2009504531957
SlogP_VSA3,15.95222176079788
SlogP_VSA4,23.671624184645573
SlogP_VSA5,56.930024475105085
SlogP_VSA6,24.526421280149375
SlogP_VSA7,0.0
SlogP_VSA8,0.0
