DLiP-ID,C000AR
DLiP-Mol-ID,30545
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H32O6/c1-20-6-3-17-18(4-8-22(27)11-15(25)2-7-21(17,22)13-24)23(20,28)9-5-16(20)14-10-19(26)29-12-14/h10,13,15-18,25,27-28H,2-9,11-12H2,1H3/t15-,16+,17-,18+,20+,21-,22-,23-/m0/s1"
Standard Inchi Key(RDKit),ODJLBQGVINUMMR-HZXDTFASSA-N
Canonical SMILES(RDKit),C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1
SMILES(SDF),
MW(SDF),
MW(RDKit),404.503
MW Monoisotopic(RDKit),404.219888744
MolLogP(RDKit),1.8982
XLogP(SDF),
XLogP(CDK),1.546
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.479701965747326
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4556873.4503792925
qed,0.4797019657473262
Chi0,20.65648977056287
Chi1,13.690054347751317
TPSA,104.06000000000002
Chi0n,17.101555084894695
Chi0v,17.101555084894695
Chi1n,11.154659242077294
Chi1v,11.154659242077294
Chi2n,10.636707985279063
Chi2v,10.636707985279063
Chi3n,9.849775909654449
Chi3v,9.849775909654449
Chi4n,8.336240483499816
Chi4v,8.336240483499816
MolMR,103.57540000000004
MolWt,404.5030000000002
fr_SH,0
Kappa1,19.707461756625573
Kappa2,6.144114583333335
Kappa3,2.3383744249499867
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,777.3297488650616
MolLogP,1.8981999999999999
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.516890846484454
SMR_VSA1,29.64551950646581
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,28.583699077277743
SMR_VSA5,82.0171998157404
SMR_VSA6,6.606881964512918
SMR_VSA7,11.64912463690315
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,3
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.86850943090698
NHOHCount,3
PEOE_VSA1,24.85098232239399
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.923737199690624
PEOE_VSA7,74.69339565196154
PEOE_VSA8,17.91183219915667
PEOE_VSA9,22.721058479112457
RingCount,5
SMR_VSA10,12.255465811081404
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,404.21988874399995
NumHDonors,3
