DLiP-ID,T002UY
DLiP-Mol-ID,19310
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H23NS3/c1-4-7-8-9-10-14-15-11(13)12(5-2)6-3/h4-10H2,1-3H3"
Standard Inchi Key(RDKit),JMAKJOJFVMKPEI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCCCSSC(=S)N(CC)CC
SMILES(SDF),
MW(SDF),
MW(RDKit),265.513
MW Monoisotopic(RDKit),265.099262736
MolLogP(RDKit),4.5748
XLogP(SDF),
XLogP(CDK),4.826
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),3.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.358832275167928
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1905.4994163510707
qed,0.3588322751679283
Chi0,11.518661569058182
Chi1,7.2567488174741905
TPSA,3.24
Chi0n,10.121705935197381
Chi0v,12.57119567798056
Chi1n,5.84097276506864
Chi1v,8.568152948519325
Chi2n,3.404166395511725
Chi2v,6.453705432561094
Chi3n,2.2330785980838344
Chi3v,5.3589030593023415
Chi4n,1.2143498898957317
Chi4v,3.9975279924021194
MolMR,79.71000000000005
MolWt,265.513
fr_SH,0
Kappa1,15.59
Kappa2,11.086691807094972
Kappa3,8.402605616941003
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,157.9120236788773
MolLogP,4.574800000000004
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.3766749755725396
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,46.4544980907759
SMR_VSA6,18.842366418571938
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,108.15346822628402
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,49.197973487902075
PEOE_VSA7,31.06219399869398
PEOE_VSA8,18.842366418571938
PEOE_VSA9,0.0
RingCount,0
SMR_VSA10,38.126203481379115
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,265.099262736
NumHDonors,0
PEOE_VSA10,4.320534085558971
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,28.062810234981388
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,46.4544980907759
