DLiP-ID,C000I2
DLiP-Mol-ID,30857
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N3O2S/c1-9-3-2-6-16-14(9)18-15-17-12(8-21-15)11-5-4-10(19)7-13(11)20/h2-8,19-20H,1H3,(H,16,17,18)"
Standard Inchi Key(RDKit),OTICCPPCQRVHEG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccnc1Nc1nc(-c2ccc(O)cc2O)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),299.355
MW Monoisotopic(RDKit),299.072847656
MolLogP(RDKit),3.66832
XLogP(SDF),
XLogP(CDK),2.96
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.687505947569472
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,90366.13070650431
qed,0.687505947569472
Chi0,14.819626477379408
Chi1,10.131030293135236
TPSA,78.27000000000001
Chi0n,11.238554556791078
Chi0v,12.055051137718804
Chi1n,6.298110091693382
Chi1v,7.1777629029482775
Chi2n,4.53325753682263
Chi2v,5.391360388680649
Chi3n,2.996234627803673
Chi3v,3.753955694608332
Chi4n,1.9093273911961615
Chi4v,2.6189123009085282
MolMR,83.13630000000002
MolWt,299.355
fr_SH,0
Kappa1,13.38615916955017
Kappa2,5.4142995973899755
Kappa3,2.7985188802083325
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,786.0948367373126
MolLogP,3.6683200000000005
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8827254761830232
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,47.47219317608403
SMR_VSA8,0.0
SMR_VSA9,22.756403153113265
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
