DLiP-ID,P000IC
DLiP-Mol-ID,26307
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19ClN4O3/c1-21-8-10-22(11-9-21)17-7-6-13(23(25)26)12-16(17)20-18(24)14-4-2-3-5-15(14)19/h2-7,12H,8-11H2,1H3,(H,20,24)"
Standard Inchi Key(RDKit),WOGZFCMBPXJNFI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCN(c2ccc([N+](=O)[O-])cc2NC(=O)c2ccccc2Cl)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),374.828
MW Monoisotopic(RDKit),374.114568148
MolLogP(RDKit),3.2523
XLogP(SDF),
XLogP(CDK),3.479
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.656083460368816
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/MLL1
Common Target Pref Name,WDR5/MLL1
RDKit Descriptors
Ipc,744177.3934717841
qed,0.6560834603688164
Chi0,18.681433796945203
Chi1,12.452397498181156
TPSA,78.72
Chi0n,14.314229139974264
Chi0v,15.07015808599272
Chi1n,8.232977149376135
Chi1v,8.610941622385361
Chi2n,6.182856295608332
Chi2v,6.590056422348938
Chi3n,4.401602210115719
Chi3v,4.731190431155764
Chi4n,2.8958184425548534
Chi4v,3.1173732147517317
MolMR,102.21160000000003
MolWt,374.8280000000001
fr_SH,0
Kappa1,18.160087571774024
Kappa2,7.716609918417583
Kappa3,3.947602435628195
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,834.9359604491058
MolLogP,3.2523000000000017
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9230461052953005
SMR_VSA1,9.717848232889493
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,43.44339594118429
SMR_VSA7,63.16497255343516
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,155.85961243185147
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,14.908855452837393
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,25.24677318806202
PEOE_VSA8,38.31175976057352
PEOE_VSA9,26.884168403623118
RingCount,3
SMR_VSA10,34.570278443634706
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,374.114568148
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.594566004035068
PEOE_VSA14,0.0
SlogP_VSA1,10.216698334856808
SlogP_VSA2,48.957098115347144
SlogP_VSA3,0.0
SlogP_VSA4,10.114318268765572
