DLiP-ID,C000QI
DLiP-Mol-ID,31224
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2/c1-21-11-12-5-2-3-6-14(12)19-15-7-4-8-16-18(15)13(10-20-16)9-17(19)21/h2-8,10,17,19-20H,9,11H2,1H3/t17-,19-/m1/s1"
Standard Inchi Key(RDKit),WRNKIDLXXXIELU-IEBWSBKVSA-N
Canonical SMILES(RDKit),CN1Cc2ccccc2[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
SMILES(SDF),
MW(SDF),
MW(RDKit),274.367
MW Monoisotopic(RDKit),274.146998576
MolLogP(RDKit),3.6699
XLogP(SDF),
XLogP(CDK),3.346
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),19.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.662461387890327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,184607.48902804792
qed,0.6624613878903269
Chi0,13.97432701575866
Chi1,10.326499840494925
TPSA,19.03
Chi0n,12.134929849769314
Chi0v,12.134929849769314
Chi1n,7.696396399672873
Chi1v,7.696396399672873
Chi2n,6.446785038421529
Chi2v,6.446785038421529
Chi3n,5.344643680525806
Chi3v,5.344643680525806
Chi4n,4.4091084434242
Chi4v,4.4091084434242
MolMR,85.54270000000004
MolWt,274.367
fr_SH,0
Kappa1,11.58345257595532
Kappa2,3.985594447432794
Kappa3,1.4566464298729591
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,845.6485682762475
MolLogP,3.669900000000002
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
