DLiP-ID,C004RH
DLiP-Mol-ID,35658
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24O5/c1-25-19-9-5-15(13-21(19)27-3)11-17-7-8-18(23(17)24)12-16-6-10-20(26-2)22(14-16)28-4/h5-6,9-14H,7-8H2,1-4H3/b17-11+,18-12+"
Standard Inchi Key(RDKit),NADUQCROZYTGPH-JYFOCSDGSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C2\CC/C(=C\c3ccc(OC)c(OC)c3)C2=O)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),380.44
MW Monoisotopic(RDKit),380.162373868
MolLogP(RDKit),4.5509
XLogP(SDF),
XLogP(CDK),3.324
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.68832247724342
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5
Common Target Pref Name,1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5
RDKit Descriptors
Ipc,2616821.032873787
qed,0.6883224772434204
Chi0,20.0956473593183
Chi1,13.58757995561869
TPSA,53.99000000000001
Chi0n,16.57425716820942
Chi0v,16.57425716820942
Chi1n,8.99148895100608
Chi1v,8.99148895100608
Chi2n,6.397117558112424
Chi2v,6.397117558112424
Chi3n,4.743966519306641
Chi3v,4.743966519306641
Chi4n,3.2656150261172137
Chi4v,3.2656150261172137
MolMR,109.28700000000005
MolWt,380.4400000000001
fr_SH,0
Kappa1,19.54879460630084
Kappa2,8.652254961034856
