DLiP-ID,C0012W
DLiP-Mol-ID,31758
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N2O3S/c1-26-19-11-10-16(13-20(19)27-2)18-14-17(21-9-6-12-28-21)23-24(18)22(25)15-7-4-3-5-8-15/h3-13,18H,14H2,1-2H3"
Standard Inchi Key(RDKit),UWYMVLBZHJWVGD-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2CC(c3cccs3)=NN2C(=O)c2ccccc2)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),392.48
MW Monoisotopic(RDKit),392.1194635
MolLogP(RDKit),4.7568
XLogP(SDF),
XLogP(CDK),4.126
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),51.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.629188452218007
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4921971.51526673
qed,0.6291884522180067
Chi0,19.509860921691395
Chi1,13.707039898056804
TPSA,51.129999999999995
Chi0n,15.66273036431743
Chi0v,16.479226945245156
Chi1n,8.928643998647061
Chi1v,9.808296809901956
Chi2n,6.37408551676722
Chi2v,7.3217797097660915
Chi3n,4.737154141139907
Chi3v,5.656013062280137
Chi4n,3.3218988545590804
Chi4v,4.0429734603447764
MolMR,110.37150000000001
MolWt,392.48000000000013
fr_SH,0
Kappa1,18.252967565442383
Kappa2,7.86024464567222
Kappa3,3.3855675234065443
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,999.8860427114917
MolLogP,4.756800000000005
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7345520157097727
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,5.008912523954532
SMR_VSA4,5.101407525739723
SMR_VSA5,12.462662452073971
SMR_VSA6,14.219595082555067
SMR_VSA7,82.04778363217731
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.38368107024294
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.794537184071822
PEOE_VSA3,5.008912523954532
PEOE_VSA4,5.101407525739723
PEOE_VSA5,11.336785877934737
PEOE_VSA6,30.33183534230805
PEOE_VSA7,41.27534960447096
PEOE_VSA8,11.984273114623004
PEOE_VSA9,30.850268108175026
RingCount,4
