DLiP-ID,C000HZ
DLiP-Mol-ID,30802
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H15N3O/c1-18(2)12-6-3-10(4-7-12)15-17-13-9-11(16)5-8-14(13)19-15/h3-9H,16H2,1-2H3"
Standard Inchi Key(RDKit),TZIJEHNHNLJSSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1ccc(-c2nc3cc(N)ccc3o2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),253.305
MW Monoisotopic(RDKit),253.1215121
MolLogP(RDKit),3.143
XLogP(SDF),
XLogP(CDK),2.552
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),55.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.712732042641818
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,33843.36066125022
qed,0.7127320426418182
Chi0,13.405412915006313
Chi1,9.131030293135234
TPSA,55.290000000000006
Chi0n,10.921477634980787
Chi0v,10.921477634980787
Chi1n,6.071572086067033
Chi1v,6.071572086067033
Chi2n,4.687481333029177
Chi2v,4.687481333029177
Chi3n,3.0422763960233303
Chi3v,3.0422763960233303
Chi4n,1.9700791289620592
Chi4v,1.9700791289620592
MolMR,78.18440000000002
MolWt,253.30499999999998
fr_SH,0
Kappa1,11.591985557765002
Kappa2,4.314847409507479
Kappa3,2.1237276918087535
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,713.8388206940015
MolLogP,3.1430000000000007
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0330625809546334
SMR_VSA1,4.417150937053347
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,24.728921173367045
SMR_VSA7,42.46456947923127
SMR_VSA8,0.0
SMR_VSA9,11.454175413722904
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,111.01374769832886
NHOHCount,2
PEOE_VSA1,15.05072814506601
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,42.46456947923127
PEOE_VSA8,31.0335680064185
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,22.474493408625627
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,253.1215121
NumHDonors,1
PEOE_VSA10,5.516700717616262
PEOE_VSA11,5.583020141642242
PEOE_VSA12,5.890723922025908
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012664
SlogP_VSA2,19.07932248630159
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,46.881720416284615
SlogP_VSA7,0.0
SlogP_VSA8,22.55389627298141
SlogP_VSA9,0.0
fr_amidine,0
