DLiP-ID,C100OW
DLiP-Mol-ID,35899
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11N3O4/c20-15(21)11-6-4-10(5-7-11)14-9-19(18-17-14)13-3-1-2-12(8-13)16(22)23/h1-9H,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),OBVPFAHIWQLCBQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(-c2cn(-c3cccc(C(=O)O)c3)nn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.281
MW Monoisotopic(RDKit),309.074955832
MolLogP(RDKit),2.3307
XLogP(SDF),
XLogP(CDK),2.709
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),105.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.765956703615378
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,244844.11836823562
qed,0.7659567036153785
Chi0,16.396976746569035
Chi1,11.041713895658194
TPSA,105.31
Chi0n,11.748716981134152
Chi0v,11.748716981134152
Chi1n,6.6422839158975915
Chi1v,6.6422839158975915
Chi2n,4.78633581977357
Chi2v,4.78633581977357
Chi3n,3.2786500009557167
Chi3v,3.2786500009557167
Chi4n,2.087286316594401
Chi4v,2.087286316594401
MolMR,80.71360000000003
MolWt,309.281
fr_SH,0
Kappa1,14.456968809165158
Kappa2,5.721853951403024
Kappa3,2.9318812671470624
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,884.3508230756736
MolLogP,2.3307
NOCount,7
fr_Ar_N,3
fr_COO2,2
fr_urea,0
BalabanJ,1.9228777275949356
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,0.0
