DLiP-ID,C003EN
DLiP-Mol-ID,33917
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1"
Standard Inchi Key(RDKit),KHWCHTKSEGGWEX-RRKCRQDMSA-N
Canonical SMILES(RDKit),Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.225
MW Monoisotopic(RDKit),331.068169798
MolLogP(RDKit),-0.8338
XLogP(SDF),
XLogP(CDK),-2.474
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),165.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.518964726677587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,109899.95314706811
qed,0.518964726677587
Chi0,15.905412915006313
Chi1,10.349155209813961
TPSA,165.83999999999997
Chi0n,11.180768812902105
Chi0v,12.07519600390202
Chi1n,6.315601895858574
Chi1v,7.8458986391987935
Chi2n,4.8015400663558285
Chi2v,6.040892857545138
Chi3n,3.308466058258474
Chi3v,3.793886619773256
Chi4n,2.2872092947301206
Chi4v,2.6283250485358782
MolMR,72.26530000000001
MolWt,331.225
fr_SH,0
Kappa1,15.282399930999288
Kappa2,5.539021388099536
Kappa3,2.9502984826852066
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,731.6654509961365
MolLogP,-0.8338000000000003
NOCount,11
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.7840708525714186
SMR_VSA1,28.71900900078885
SMR_VSA2,0.0
SMR_VSA3,19.519035210632982
SMR_VSA4,0.0
SMR_VSA5,24.856655569157482
SMR_VSA6,12.340549441675103
SMR_VSA7,12.654640149529083
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.50931600722475
NHOHCount,5
PEOE_VSA1,25.36388103130789
PEOE_VSA2,9.090846809503173
PEOE_VSA3,19.516983847772956
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,19.038168427025763
RingCount,3
SMR_VSA10,24.804437839351188
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,331.0681697979999
NumHDonors,4
PEOE_VSA10,24.17588835086398
PEOE_VSA11,11.465039998602755
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,7.822697123132171
SlogP_VSA1,5.733667477162185
SlogP_VSA2,53.22720055098815
SlogP_VSA3,13.825658400443196
SlogP_VSA4,0.0
SlogP_VSA5,12.64872279366088
SlogP_VSA6,12.654640149529083
SlogP_VSA7,0.0
SlogP_VSA8,11.16387793838399
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,32.865413033876564
EState_VSA2,12.238684400761038
EState_VSA3,11.16387793838399
EState_VSA4,0.0
EState_VSA5,12.654640149529083
