DLiP-ID,C001FM
DLiP-Mol-ID,32301
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H9N5O/c10-8(11)14-7(15)5-3-1-2-4-6(5)13-9(14)12/h1-4H,(H3,10,11)(H2,12,13)"
Standard Inchi Key(RDKit),KHMFDNNLZITWIJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)n1c(N)nc2ccccc2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),203.205
MW Monoisotopic(RDKit),203.080709908
MolLogP(RDKit),-0.27973
XLogP(SDF),
XLogP(CDK),1.292
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),110.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.403561712668137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2632.5273436318907
qed,0.40356171266813723
Chi0,10.999635521070495
Chi1,7.1090609052806215
TPSA,110.78
Chi0n,7.766777096601535
Chi0v,7.766777096601535
Chi1n,4.226858672361079
Chi1v,4.226858672361079
Chi2n,3.012954519135453
Chi2v,3.012954519135453
Chi3n,2.042552286954191
Chi3v,2.042552286954191
Chi4n,1.3826939139702696
Chi4v,1.3826939139702696
MolMR,57.72749999999999
MolWt,203.205
fr_SH,0
Kappa1,9.195409370056236
Kappa2,3.087790223566009
