DLiP-ID,J000NH
DLiP-Mol-ID,27651
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17BrClN3O2/c1-19(26,11-24-7-6-12-8-14(20)3-5-17(12)24)18(25)23-15-4-2-13(10-22)16(21)9-15/h2-5,8-9,26H,6-7,11H2,1H3,(H,23,25)/t19-/m0/s1"
Standard Inchi Key(RDKit),PYSZYNJVLIZJGH-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(CN1CCc2cc(Br)ccc21)C(=O)Nc1ccc(C#N)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),434.721
MW Monoisotopic(RDKit),433.019266564
MolLogP(RDKit),3.72638
XLogP(SDF),
XLogP(CDK),3.582
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),76.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.768686383542802
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,696007.414600779
qed,0.7686863835428017
Chi0,18.896976746569035
Chi1,12.296862180437598
TPSA,76.36
Chi0n,14.09123998167959
Chi0v,16.43316546681275
Chi1n,8.06853906813649
Chi1v,9.239501810703068
Chi2n,6.478996697715528
Chi2v,7.801872353247824
Chi3n,4.368600656917647
Chi3v,5.174561304122983
Chi4n,2.9956330577832793
Chi4v,3.626929314050762
MolMR,105.4795
MolWt,434.7210000000001
fr_SH,0
Kappa1,18.713101556907564
Kappa2,7.276332068419749
Kappa3,3.8534875150064885
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,908.1426256534432
MolLogP,3.7263800000000025
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7159420226302926
SMR_VSA1,9.901064578912528
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,18.94560963360032
SMR_VSA6,23.30621114668196
SMR_VSA7,57.020458223737386
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,1
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.866106192851
NHOHCount,2
PEOE_VSA1,15.323225729697516
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,27.530883788181864
PEOE_VSA7,55.306212725083284
PEOE_VSA8,22.39224847111211
PEOE_VSA9,17.130841211350898
RingCount,3
SMR_VSA10,44.812836066900495
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,433.0192665640001
NumHDonors,2
PEOE_VSA10,6.069221312792274
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.216698334856808
SlogP_VSA2,29.70427074700105
SlogP_VSA3,11.21535880699783
SlogP_VSA4,11.33111286753076
SlogP_VSA5,18.050640183084614
SlogP_VSA6,40.87092192660207
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
