DLiP-ID,T004MG
DLiP-Mol-ID,19726
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H12O2/c13-12-8-4-7-11(14-12)9-10-5-2-1-3-6-10/h1-6,8,11H,7,9H2/t11-/m1/s1"
Standard Inchi Key(RDKit),OOEPBBNIHDXZKX-LLVKDONJSA-N
Canonical SMILES(RDKit),O=C1C=CC[C@H](Cc2ccccc2)O1
SMILES(SDF),
MW(SDF),
MW(RDKit),188.226
MW Monoisotopic(RDKit),188.083729624
MolLogP(RDKit),2.1008
XLogP(SDF),
XLogP(CDK),2.371
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),26.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.664221709054403
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,2199.3975969006065
qed,0.6642217090544034
Chi0,9.803118619434356
Chi1,6.843336592900531
TPSA,26.3
Chi0n,7.84951229681783
Chi0v,7.84951229681783
Chi1n,4.754940883295348
Chi1v,4.754940883295348
Chi2n,3.3866890841978727
Chi2v,3.3866890841978727
Chi3n,2.241926762652128
Chi3v,2.241926762652128
Chi4n,1.5696947323319606
Chi4v,1.5696947323319606
MolMR,53.78300000000003
MolWt,188.22600000000003
fr_SH,0
Kappa1,9.003504046519028
Kappa2,4.092795761358688
Kappa3,2.222137664778961
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,340.59917883155015
MolLogP,2.1008
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.987937355647433
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,18.94560963360032
SMR_VSA6,0.0
SMR_VSA7,48.04732704767281
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
