DLiP-ID,C000UD
DLiP-Mol-ID,31388
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20O6/c1-22(2)10-9-14-15(28-22)11-16-18(20(14)26-4)19(23)17(21(24)27-16)12-5-7-13(25-3)8-6-12/h5-11,23H,1-4H3"
Standard Inchi Key(RDKit),MBZKDBQDALOSRP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2c(O)c3c(OC)c4c(cc3oc2=O)OC(C)(C)C=C4)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),380.396
MW Monoisotopic(RDKit),380.12598836
MolLogP(RDKit),4.367
XLogP(SDF),
XLogP(CDK),4.855
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.680157911097599
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2045367.2495643906
qed,0.680157911097599
Chi0,20.05167728494828
Chi1,13.341667034171918
TPSA,78.13000000000001
Chi0n,16.029906932146655
Chi0v,16.029906932146655
Chi1n,8.77837347205973
Chi1v,8.77837347205973
Chi2n,7.075235517532361
Chi2v,7.075235517532361
Chi3n,4.733318604150671
Chi3v,4.733318604150671
Chi4n,3.372722282817622
Chi4v,3.372722282817622
MolMR,106.42980000000003
MolWt,380.3960000000001
fr_SH,0
Kappa1,17.976742994458412
Kappa2,6.335584165281597
Kappa3,2.7758826817537874
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1152.5910265001826
MolLogP,4.3670000000000035
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0157513584984628
SMR_VSA1,23.7342671932942
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.448525210364934
