DLiP-ID,T000ZI
DLiP-Mol-ID,16787
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N4O4S/c1-13-8-9-30-18(13)16-11-22-12-23-19(16)24-17(20(26)27)10-14-4-6-15(7-5-14)29-21(28)25(2)3/h4-9,11-12,17H,10H2,1-3H3,(H,26,27)(H,22,23,24)/t17-/m0/s1"
Standard Inchi Key(RDKit),CVBUCTGSDPYFLF-KRWDZBQOSA-N
Canonical SMILES(RDKit),Cc1ccsc1-c1cncnc1N[C@@H](Cc1ccc(OC(=O)N(C)C)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),426.498
MW Monoisotopic(RDKit),426.136176184
MolLogP(RDKit),3.68172
XLogP(SDF),
XLogP(CDK),0.04
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.593678119200418
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5707033.29527106
qed,0.5936781192004175
Chi0,21.672997628507925
Chi1,14.346244348298509
TPSA,104.65000000000002
Chi0n,16.825106747748464
Chi0v,17.64160332867619
Chi1n,9.167369997862151
Chi1v,10.047022809117045
Chi2n,6.86339205382952
Chi2v,7.779508131664808
Chi3n,4.361505154977923
Chi3v,5.411261420592762
Chi4n,2.7459646673711426
Chi4v,3.6844930087997927
MolMR,114.98550000000006
MolWt,426.4980000000002
fr_SH,0
Kappa1,21.253710800170307
Kappa2,9.358419759492534
Kappa3,5.1191593314730515
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1033.4954462369394
MolLogP,3.681720000000001
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.7615903083923532
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,14.867866772744895
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,19.41213256936071
SMR_VSA7,59.36296474254557
SMR_VSA8,0.0
SMR_VSA9,16.1901105186822
fr_Al_OH,0
