DLiP-ID,T007IA
DLiP-Mol-ID,25614
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H29N3O2/c1-2-3-11-17-15(20)14-10-7-12-19(14)16(21)18-13-8-5-4-6-9-13/h13-14H,2-12H2,1H3,(H,17,20)(H,18,21)"
Standard Inchi Key(RDKit),XYCVZMQNTKFWAV-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCNC(=O)C1CCCN1C(=O)NC1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),295.427
MW Monoisotopic(RDKit),295.225977168
MolLogP(RDKit),2.4094
XLogP(SDF),
XLogP(CDK),2.451
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.765157041726628
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,81610.38641646534
qed,0.7651570417266285
Chi0,15.079139501373252
Chi1,10.21954535281284
TPSA,61.440000000000005
Chi0n,13.196585307858962
Chi0v,13.196585307858962
Chi1n,8.569037056338878
Chi1v,8.569037056338878
Chi2n,6.280425466330742
Chi2v,6.280425466330742
Chi3n,4.578644097852879
Chi3v,4.578644097852879
Chi4n,3.293005770155756
Chi4v,3.293005770155756
MolMR,83.05040000000005
MolWt,295.4270000000001
fr_SH,0
Kappa1,16.116428928116765
Kappa2,8.24810178516186
Kappa3,4.61307310796428
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,353.43125158121364
MolLogP,2.4093999999999998
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.8169291831821743
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,15.533486938863138
SMR_VSA4,0.0
SMR_VSA5,76.79481346432065
SMR_VSA6,13.08951281182515
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.38432267422722
NHOHCount,2
PEOE_VSA1,15.533486938863138
