DLiP-ID,C101RQ
DLiP-Mol-ID,40380
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11NO/c1-10-7-8-12(14)13(9-10)11-5-3-2-4-6-11/h2-9H,1H3"
Standard Inchi Key(RDKit),ISWRGOKTTBVCFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(=O)n(-c2ccccc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),185.226
MW Monoisotopic(RDKit),185.084063972
MolLogP(RDKit),2.14592
XLogP(SDF),
XLogP(CDK),3.075
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),22.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.666820407215746
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transforming growth factor beta-1 proprotein/Mothers against decapentaplegic homolog 3
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,2104.7356738500102
qed,0.6668204072157461
Chi0,9.966255326250886
Chi1,6.770856947829097
TPSA,22.0
Chi0n,7.97426403948083
Chi0v,7.97426403948083
Chi1n,4.519578970119783
Chi1v,4.519578970119783
Chi2n,3.250238829611011
Chi2v,3.250238829611011
Chi3n,2.0933342542266082
Chi3v,2.0933342542266082
Chi4n,1.3836954263254397
Chi4v,1.3836954263254397
MolMR,56.776000000000025
MolWt,185.22600000000003
fr_SH,0
Kappa1,8.754379606904399
Kappa2,3.499332613254203
Kappa3,1.5929698524109863
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,485.17495788858764
MolLogP,2.1459200000000003
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.6265243874423194
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
