DLiP-ID,T000EW
DLiP-Mol-ID,15899
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26N4O6/c1-16-7-9-18(10-8-16)19(13-23(31)32)28-21(30)15-26-24(33)20-11-12-22(35-20)29-25(34)27-14-17-5-3-2-4-6-17/h2-12,19H,13-15H2,1H3,(H,26,33)(H,28,30)(H,31,32)(H2,27,29,34)"
Standard Inchi Key(RDKit),BDICDHJCLYIIQR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C(CC(=O)O)NC(=O)CNC(=O)c2ccc(NC(=O)NCc3ccccc3)o2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),478.505
MW Monoisotopic(RDKit),478.185234552
MolLogP(RDKit),2.97172
XLogP(SDF),
XLogP(CDK),2.185
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),149.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.302358234614828
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,63404784.26176176
qed,0.3023582346148277
Chi0,25.208531534440652
Chi1,16.795734091081684
TPSA,149.76999999999998
Chi0n,19.03797862165443
Chi0v,19.03797862165443
Chi1n,10.844451591853266
Chi1v,10.844451591853266
Chi2n,7.7684966287223896
Chi2v,7.7684966287223896
Chi3n,4.965598032499819
Chi3v,4.965598032499819
Chi4n,3.180018315841535
Chi4v,3.180018315841535
MolMR,127.6571
MolWt,478.50500000000017
fr_SH,0
