DLiP-ID,T004SM
DLiP-Mol-ID,21251
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H32N4O4/c1-20-14-16-30-25(17-20)29-15-6-5-9-26(33)31-32-27(34)18-24(19-28(35)36)23-12-10-22(11-13-23)21-7-3-2-4-8-21/h2-4,7-8,10-14,16-17,24H,5-6,9,15,18-19H2,1H3,(H,29,30)(H,31,33)(H,32,34)(H,35,36)"
Standard Inchi Key(RDKit),PACDIVMUVSJXND-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccnc(NCCCCC(=O)NNC(=O)CC(CC(=O)O)c2ccc(-c3ccccc3)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),488.588
MW Monoisotopic(RDKit),488.242355504
MolLogP(RDKit),4.43522
XLogP(SDF),
XLogP(CDK),4.553
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),120.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.221046122616435
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,95827823.13470975
qed,0.22104612261643458
Chi0,25.75250160881067
Chi1,17.401887240964335
TPSA,120.42
Chi0n,20.36736624897593
Chi0v,20.36736624897593
Chi1n,12.018579743525203
Chi1v,12.018579743525203
Chi2n,8.685612501601593
Chi2v,8.685612501601593
Chi3n,5.735536520699493
Chi3v,5.735536520699493
Chi4n,3.83359848903471
Chi4v,3.83359848903471
MolMR,139.08889999999985
MolWt,488.5880000000002
fr_SH,0
Kappa1,26.405546024298875
Kappa2,13.62784598214286
Kappa3,8.866115702479341
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
