DLiP-ID,C004HT
DLiP-Mol-ID,35327
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21Cl2NO3S/c22-15-3-1-2-13(8-15)16-9-14(10-19(25)26)21(27)24(11-12-4-5-12)20(16)17-6-7-18(23)28-17/h1-3,6-8,12,14,16,20H,4-5,9-11H2,(H,25,26)/t14-,16?,20-/m0/s1"
Standard Inchi Key(RDKit),MJSFAHMLRXGLQG-VXCCZKMHSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H]1CC(c2cccc(Cl)c2)[C@@H](c2ccc(Cl)s2)N(CC2CC2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),438.376
MW Monoisotopic(RDKit),437.061919892
MolLogP(RDKit),5.613
XLogP(SDF),
XLogP(CDK),3.46
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),57.61
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.637689275756823
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,3296872.761762204
qed,0.6376892757568229
Chi0,19.836134335324456
Chi1,13.418723993369941
TPSA,57.61
Chi0n,15.18413760623896
Chi0v,17.512492079203593
Chi1n,9.450553983264014
Chi1v,11.022979510210194
Chi2n,7.7126754273304226
Chi2v,9.895773424305245
Chi3n,5.62283983529606
Chi3v,7.159742732073806
Chi4n,4.183326439409028
Chi4v,5.621897248614567
MolMR,111.05980000000005
MolWt,438.3760000000002
fr_SH,0
Kappa1,19.743314035916825
Kappa2,8.052669535931955
Kappa3,4.215435087580071
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,895.280784996242
MolLogP,5.613000000000003
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7733105611619773
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,11.835812092322787
SMR_VSA5,37.64303336701339
SMR_VSA6,6.544756405912575
SMR_VSA7,56.19776342565491
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.61520562352698
NHOHCount,1
PEOE_VSA1,10.006437125691184
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,35.33461391738825
PEOE_VSA7,55.00929068048286
PEOE_VSA8,28.280349005677987
PEOE_VSA9,16.7989914678196
RingCount,4
SMR_VSA10,46.415150675703124
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,437.061919892
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
