DLiP-ID,I0009U
DLiP-Mol-ID,28093
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H32FN5O3/c1-5-19(28-23(32)13(2)26-4)24(33)29-9-8-21-22(29)18(12-30(21)14(3)31)17-11-27-20-10-15(25)6-7-16(17)20/h6-7,10-11,13,18-19,21-22,26-27H,5,8-9,12H2,1-4H3,(H,28,32)/t13-,18+,19-,21+,22+/m0/s1"
Standard Inchi Key(RDKit),DUPPPHNZCVQSQO-NTFMPISFSA-N
Canonical SMILES(RDKit),CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1CC[C@@H]2[C@H]1[C@@H](c1c[nH]c3cc(F)ccc13)CN2C(C)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),457.55
MW Monoisotopic(RDKit),457.248918104
MolLogP(RDKit),1.7249
XLogP(SDF),
XLogP(CDK),1.381
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),97.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.615450225011932
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,31118853.22510487
qed,0.615450225011932
Chi0,23.861078361706785
Chi1,15.760457910671603
TPSA,97.53999999999999
Chi0n,19.521716082853555
Chi0v,19.521716082853555
Chi1n,11.58204998153907
Chi1v,11.58204998153907
Chi2n,9.069828172551611
Chi2v,9.069828172551611
Chi3n,7.237798300704468
Chi3v,7.237798300704468
Chi4n,5.375333466756583
Chi4v,5.375333466756583
MolMR,123.03410000000005
MolWt,457.5500000000002
fr_SH,0
Kappa1,23.226004064545247
Kappa2,9.13038840646518
Kappa3,4.097912480648586
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1069.547014297534
