DLiP-ID,C0010X
DLiP-Mol-ID,31658
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N3O3/c1-16-11-10(13(19)17(2)14(16)20)15-9(12(11)18)8-6-4-3-5-7-8/h3-7,15,18H,1-2H3"
Standard Inchi Key(RDKit),JYLPPQVMEIEYRY-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),271.276
MW Monoisotopic(RDKit),271.095691276
MolLogP(RDKit),0.9379
XLogP(SDF),
XLogP(CDK),4.197
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),80.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.690866969203696
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,49027.16683302187
qed,0.6908669692036962
Chi0,14.438793109825921
Chi1,9.519744507803582
TPSA,80.02
Chi0n,11.044888713375732
Chi0v,11.044888713375732
Chi1n,6.081393072736636
Chi1v,6.081393072736636
Chi2n,4.64399973827783
Chi2v,4.64399973827783
Chi3n,3.438147084125703
Chi3v,3.438147084125703
Chi4n,2.3504407960459286
Chi4v,2.3504407960459286
MolMR,75.88150000000002
MolWt,271.276
fr_SH,0
Kappa1,12.282850782975524
Kappa2,4.1247001763668445
Kappa3,1.5099402186276791
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,916.7176164044655
MolLogP,0.9378999999999997
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.4876498278159023
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,14.118177816529919
SMR_VSA4,14.09534396535438
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,51.169920003707176
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
