DLiP-ID,T0031X
DLiP-Mol-ID,19616
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22N4O4/c1-13(21)22-17-9-5-8-15(10-17)20(28)24-23-18(25)11-16(12-19(26)27)14-6-3-2-4-7-14/h2-10,16H,11-12H2,1H3,(H2,21,22)(H,23,25)(H,24,28)(H,26,27)"
Standard Inchi Key(RDKit),JXVSJECJQNIGDS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccccc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),382.42
MW Monoisotopic(RDKit),382.164105184
MolLogP(RDKit),2.50527
XLogP(SDF),
XLogP(CDK),2.335
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),131.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.285182302203372
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1315998.5107241976
qed,0.28518230220337176
Chi0,20.518297090128666
Chi1,13.346244348298507
TPSA,131.38
Chi0n,15.359674721160903
Chi0v,15.359674721160903
