DLiP-ID,C003MQ
DLiP-Mol-ID,26682
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10O4/c16-11-6-5-9(7-12(11)17)8-14-15(18)10-3-1-2-4-13(10)19-14/h1-8,16-17H/b14-8-"
Standard Inchi Key(RDKit),HCBULGQMULJTCM-ZSOIEALJSA-N
Canonical SMILES(RDKit),O=C1/C(=C/c2ccc(O)c(O)c2)Oc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),254.241
MW Monoisotopic(RDKit),254.0579088
MolLogP(RDKit),2.714
XLogP(SDF),
XLogP(CDK),2.981
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.606210687251352
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,32414.062238475348
qed,0.606210687251352
Chi0,13.405412915006313
Chi1,9.147867045540842
TPSA,66.76
Chi0n,9.82972592544465
Chi0v,9.82972592544465
Chi1n,5.70232044128759
Chi1v,5.70232044128759
Chi2n,4.184085695478155
Chi2v,4.184085695478155
Chi3n,2.872623262585241
Chi3v,2.872623262585241
Chi4n,1.9173938278744538
Chi4v,1.9173938278744538
MolMR,69.14910000000003
MolWt,254.24099999999999
fr_SH,0
Kappa1,11.346641020829423
Kappa2,4.170292904637657
Kappa3,1.9295189405882618
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,701.041804175022
MolLogP,2.7140000000000013
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9847387976111739
SMR_VSA1,19.744454927553285
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,59.35063733428144
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,108.75142431698
NHOHCount,2
PEOE_VSA1,14.94991774348146
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,35.90493987237732
PEOE_VSA8,0.0
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,11.85926505319882
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,254.0579088
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,17.258188538223987
PEOE_VSA12,5.783244946364939
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,15.996299736046351
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,48.22373435088745
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,23.041433484588925
EState_VSA3,16.876414816677897
EState_VSA4,0.0
EState_VSA5,18.208754243757102
EState_VSA6,30.33183534230805
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,4.736862953800049
SlogP_VSA10,0.0
SlogP_VSA11,17.248535499851716
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
