DLiP-ID,I0013M
DLiP-Mol-ID,29367
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C30H34N4O3/c1-21(2)18-27-30(37)34(17-13-28(35)33(27)16-12-22-10-14-32-15-11-22)26(29(36)31-3)20-23-8-9-24-6-4-5-7-25(24)19-23/h4-12,14-16,19,21,26-27H,13,17-18,20H2,1-3H3,(H,31,36)/b16-12+/t26-,27-/m0/s1"
Standard Inchi Key(RDKit),SGMLGVXBLSQYDJ-ZNPZAEPOSA-N
Canonical SMILES(RDKit),CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(/C=C/c2ccncc2)[C@@H](CC(C)C)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),498.627
MW Monoisotopic(RDKit),498.263090948
MolLogP(RDKit),4.0384
XLogP(SDF),
XLogP(CDK),4.054
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),37
QED Weighted(RDKit),0.508276402736187
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,199663750.33003342
qed,0.5082764027361871
Chi0,26.36323207281991
Chi1,17.867412398353682
TPSA,82.61000000000001
Chi0n,21.63241708967167
Chi0v,21.63241708967167
