DLiP-ID,I0013J
DLiP-Mol-ID,29364
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24N4O/c1-2-28-23-15-19(27-18-10-12-24-13-11-18)7-8-22(23)25-14-9-17-16-26-21-6-4-3-5-20(17)21/h3-8,10-13,15-16,25-26H,2,9,14H2,1H3,(H,24,27)"
Standard Inchi Key(RDKit),SGHWSLZCSBQWOP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1cc(Nc2ccncc2)ccc1NCCc1c[nH]c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),372.472
MW Monoisotopic(RDKit),372.195011388
MolLogP(RDKit),5.3598
XLogP(SDF),
XLogP(CDK),3.942
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),61.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.38957582641388
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,4682669.439613546
qed,0.3895758264138805
Chi0,19.183587508058334
Chi1,13.830831138144497
TPSA,61.97
Chi0n,15.904985459798977
Chi0v,15.904985459798977
Chi1n,9.560161967642292
Chi1v,9.560161967642292
Chi2n,6.541114058285287
Chi2v,6.541114058285287
Chi3n,4.635156645760827
Chi3v,4.635156645760827
Chi4n,3.2932600857315686
Chi4v,3.2932600857315686
MolMR,115.62310000000002
MolWt,372.4720000000001
fr_SH,0
Kappa1,17.91962758851454
Kappa2,8.479830702983577
Kappa3,4.090257549414168
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1042.8581334008936
MolLogP,5.3598000000000035
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4417875971512861
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,23.785215578438155
SMR_VSA7,78.75128582269073
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.3291025196304
NHOHCount,3
PEOE_VSA1,20.354418682759917
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
